HLE: ! path: /dev_hdd0/game/
HLE: W No pause.bin found, Auto Pause will not work.
HLE: W No pause.bin found, Auto Pause will not work.
LDR: ! Loading 'D:\Emulateurs\Rpcs3\dev_hdd0\game\BCES00005-[Formula One Championship Edition]\PS3_GAME\USRDIR/BOOT.BIN'...
LDR: !  
LDR: ! Mount info:
LDR: ! /dev_usb000/ -> D:/Emulateurs/Rpcs3/dev_usb000/
LDR: ! /dev_flash/ -> D:/Emulateurs/Rpcs3/dev_flash/
LDR: ! /host_root/ -> 
LDR: ! /dev_hdd0/ -> D:/Emulateurs/Rpcs3/dev_hdd0/
LDR: ! /dev_hdd1/ -> D:/Emulateurs/Rpcs3/dev_hdd1/
LDR: ! /dev_bdvd/ -> D:/Emulateurs/Rpcs3/dev_hdd0/game/BCES00005-[Formula One Championship Edition]/PS3_GAME/../
LDR: ! /dev_usb/ -> D:/Emulateurs/Rpcs3/dev_usb000/
LDR: !  
LDR: ! Title: Formula One™ Championship Edition
LDR: ! Serial: BCES00005
LDR: !  
LDR: ! loader::init() failed: Broken file
MEM: ! Initializing memory: g_base_addr = 0xbe982a0000, g_priv_addr = 0xbf982a0000
MEM: ! Memory initialized.
LDR: ! Imported function 'cellSysmoduleUnloadModule' in 'cellSysmodule' module (0x6e98ac)
LDR: ! Imported function 'cellSysmoduleLoadModule' in 'cellSysmodule' module (0x6e98cc)
LDR: ! Imported function 'sys_lwmutex_lock' in 'sysPrxForUser' module (0x6e98ec)
LDR: ! Imported function 'sys_lwmutex_unlock' in 'sysPrxForUser' module (0x6e990c)
LDR: ! Imported function 'sys_ppu_thread_create' in 'sysPrxForUser' module (0x6e992c)
LDR: ! Imported function '_sys_process_atexitspawn' in 'sysPrxForUser' module (0x6e994c)
LDR: ! Imported function 'sys_lwmutex_create' in 'sysPrxForUser' module (0x6e996c)
LDR: ! Imported function 'sys_ppu_thread_get_id' in 'sysPrxForUser' module (0x6e998c)
LDR: ! Imported function 'sys_initialize_tls' in 'sysPrxForUser' module (0x6e99ac)
LDR: ! Imported function 'sys_time_get_system_time' in 'sysPrxForUser' module (0x6e99cc)
LDR: ! Imported function 'sys_prx_exitspawn_with_level' in 'sysPrxForUser' module (0x6e99ec)
LDR: ! Imported function 'sys_ppu_thread_exit' in 'sysPrxForUser' module (0x6e9a0c)
LDR: ! Imported function 'sys_lwmutex_destroy' in 'sysPrxForUser' module (0x6e9a2c)
LDR: ! Imported function 'sys_process_exit' in 'sysPrxForUser' module (0x6e9a4c)
LDR: E Unimplemented function 'sys_mempool_try_allocate_block' in 'sysPrxForUser' module (0x6ea58c)
LDR: ! Imported function 'sys_process_is_stack' in 'sysPrxForUser' module (0x6ea5ac)
LDR: E Unimplemented function 'sys_mempool_free_block' in 'sysPrxForUser' module (0x6ea5cc)
LDR: E Unimplemented function 'sys_mempool_destroy' in 'sysPrxForUser' module (0x6ea5ec)
LDR: E Unimplemented function 'sys_mempool_create' in 'sysPrxForUser' module (0x6ea60c)
LDR: W Unknown module 'cellUsbd'
LDR: E Unimplemented function 'cellUsbdEnd' in 'cellUsbd' module (0x6e9a6c)
LDR: E Unimplemented function 'cellUsbdSetThreadPriority2' in 'cellUsbd' module (0x6e9a8c)
LDR: E Unimplemented function 'cellUsbdInit' in 'cellUsbd' module (0x6e9aac)
LDR: E Unimplemented function 'cellUsbdInterruptTransfer' in 'cellUsbd' module (0x6ea62c)
LDR: E Unimplemented function 'cellUsbdOpenPipe' in 'cellUsbd' module (0x6ea64c)
LDR: E Unimplemented function 'cellUsbdScanStaticDescriptor' in 'cellUsbd' module (0x6ea66c)
LDR: E Unimplemented function 'cellUsbdGetPrivateData' in 'cellUsbd' module (0x6ea68c)
LDR: E Unimplemented function 'cellUsbdSetPrivateData' in 'cellUsbd' module (0x6ea6ac)
LDR: E Unimplemented function 'cellUsbdUnregisterExtraLdd' in 'cellUsbd' module (0x6ea6cc)
LDR: E Unimplemented function 'cellUsbdClosePipe' in 'cellUsbd' module (0x6ea6ec)
LDR: E Unimplemented function 'cellUsbdControlTransfer' in 'cellUsbd' module (0x6ea70c)
LDR: E Unimplemented function 'cellUsbdRegisterExtraLdd2' in 'cellUsbd' module (0x6ea72c)
LDR: E Unimplemented function 'cellUsbdGetDeviceLocation' in 'cellUsbd' module (0x6ea74c)
LDR: ! Imported function 'cellKbGetConfiguration' in 'sys_io' module (0x6e9acc)
LDR: ! Imported function 'cellKbGetInfo' in 'sys_io' module (0x6e9aec)
LDR: ! Imported function 'cellMouseGetData' in 'sys_io' module (0x6e9b0c)
LDR: ! Imported function 'cellPadGetInfo' in 'sys_io' module (0x6e9b2c)
LDR: ! Imported function 'cellMouseClearBuf' in 'sys_io' module (0x6e9b4c)
LDR: ! Imported function 'cellKbInit' in 'sys_io' module (0x6e9b6c)
LDR: ! Imported function 'cellKbCnvRawCode' in 'sys_io' module (0x6e9b8c)
LDR: ! Imported function 'cellMouseGetInfo' in 'sys_io' module (0x6e9bac)
LDR: ! Imported function 'cellKbSetCodeType' in 'sys_io' module (0x6e9bcc)
LDR: ! Imported function 'cellKbEnd' in 'sys_io' module (0x6e9bec)
LDR: ! Imported function 'cellMouseInit' in 'sys_io' module (0x6e9c0c)
LDR: ! Imported function 'cellKbSetReadMode' in 'sys_io' module (0x6e9c2c)
LDR: ! Imported function 'cellMouseEnd' in 'sys_io' module (0x6e9c4c)
LDR: ! Imported function 'cellPadSetActDirect' in 'sys_io' module (0x6e9c6c)
LDR: ! Imported function 'cellKbRead' in 'sys_io' module (0x6e9c8c)
LDR: ! Imported function 'cellPadInfoPressMode' in 'sys_io' module (0x6ea76c)
LDR: ! Imported function 'cellPadInit' in 'sys_io' module (0x6ea78c)
LDR: ! Imported function 'cellKbClearBuf' in 'sys_io' module (0x6ea7ac)
LDR: E Unimplemented function 'cellPadLddRegisterController' in 'sys_io' module (0x6ea7cc)
LDR: ! Imported function 'cellPadEnd' in 'sys_io' module (0x6ea7ec)
LDR: ! Imported function 'cellPadInfoSensorMode' in 'sys_io' module (0x6ea80c)
LDR: ! Imported function 'cellPadGetData' in 'sys_io' module (0x6ea82c)
LDR: E Unimplemented function 'cellPadLddDataInsert' in 'sys_io' module (0x6ea84c)
LDR: ! Imported function 'cellPadSetSensorMode' in 'sys_io' module (0x6ea86c)
