HLE: ! path: /dev_hdd0/game/
LDR: E PSFLoader::Load() failed: unknown magic (0x0)
LDR: ! Loading 'D:/Emulateurs/Rpcs3/dev_hdd0/game/BLES00693-[Dragon Ball Raging Blast]/PS3_GAME/USRDIR/BOOT.BIN'...
G: W fs::file::open('D:/Emulateurs/Rpcs3/dev_hdd0/game/BLES00693-[Dragon Ball Raging Blast]/PS3_GAME/dev_bdvd.path', 0x1) failed: error 0x2
LDR: !  
LDR: ! Mount info:
LDR: ! /dev_usb000/ -> D:/Emulateurs/Rpcs3/dev_usb000/
LDR: ! /dev_flash/ -> D:/Emulateurs/Rpcs3/dev_flash/
LDR: ! /host_root/ -> 
LDR: ! /dev_hdd0/ -> D:/Emulateurs/Rpcs3/dev_hdd0/
LDR: ! /dev_hdd1/ -> D:/Emulateurs/Rpcs3/dev_hdd1/
LDR: ! /dev_bdvd/ -> D:/Emulateurs/Rpcs3/dev_hdd0/game/BLES00693-[Dragon Ball Raging Blast]/
LDR: ! /dev_usb/ -> D:/Emulateurs/Rpcs3/dev_usb000/
LDR: !  
LDR: ! Title: Dragon Ball: Raging Blast
LDR: ! Serial: BLES00693
LDR: ! Elf path: /dev_bdvd/PS3_GAME/USRDIR/BOOT.BIN
LDR: ! loader::init() failed: Broken file
MEM: ! Initializing memory: g_base_addr = 0xc2a3a60000, g_priv_addr = 0xc3a3a60000
MEM: ! Memory initialized.
LDR: ! Imported function 'cellSysutilUnregisterCallback' in 'cellSysutil' module (0x5d6c84)
LDR: ! Imported function 'cellVideoOutConfigure' in 'cellSysutil' module (0x5d6ca4)
LDR: ! Imported function 'cellSysutilCheckCallback' in 'cellSysutil' module (0x5d6cc4)
LDR: ! Imported function 'cellSaveDataListLoad2' in 'cellSysutil' module (0x5d6ce4)
LDR: ! Imported function 'cellMsgDialogClose' in 'cellSysutil' module (0x5d6d04)
LDR: ! Imported function 'cellSaveDataListAutoLoad' in 'cellSysutil' module (0x5d6d24)
LDR: ! Imported function 'cellSysutilEnableBgmPlayback' in 'cellSysutil' module (0x5d6d44)
LDR: ! Imported function 'cellSaveDataFixedLoad2' in 'cellSysutil' module (0x5d6d64)
LDR: ! Imported function 'cellSaveDataFixedSave2' in 'cellSysutil' module (0x5d6d84)
LDR: ! Imported function 'cellSaveDataListSave2' in 'cellSysutil' module (0x5d6da4)
LDR: ! Imported function 'cellSysutilGetSystemParamInt' in 'cellSysutil' module (0x5d6dc4)
LDR: ! Imported function 'cellAudioOutConfigure' in 'cellSysutil' module (0x5d6de4)
LDR: ! Imported function 'cellSaveDataListAutoSave' in 'cellSysutil' module (0x5d6e04)
LDR: ! Imported function 'cellMsgDialogOpen2' in 'cellSysutil' module (0x5d6e24)
LDR: ! Imported function 'cellVideoOutGetState' in 'cellSysutil' module (0x5d6e44)
LDR: ! Imported function 'cellSaveDataAutoSave2' in 'cellSysutil' module (0x5d6e64)
LDR: ! Imported function 'cellMsgDialogProgressBarInc' in 'cellSysutil' module (0x5d6e84)
LDR: ! Imported function 'cellMsgDialogProgressBarSetMsg' in 'cellSysutil' module (0x5d6ea4)
LDR: ! Imported function 'cellSysutilRegisterCallback' in 'cellSysutil' module (0x5d6ec4)
LDR: ! Imported function 'cellSysutilGetBgmPlaybackStatus' in 'cellSysutil' module (0x5d6ee4)
LDR: ! Imported function 'cellVideoOutGetResolutionAvailability' in 'cellSysutil' module (0x5d6f04)
LDR: ! Imported function 'cellAudioOutGetSoundAvailability' in 'cellSysutil' module (0x5d6f24)
LDR: ! Imported function 'cellSaveDataFixedDelete' in 'cellSysutil' module (0x5d6f44)
LDR: ! Imported function 'cellVideoOutGetResolution' in 'cellSysutil' module (0x5d6f64)
LDR: ! Imported function 'cellSaveDataEnableOverlay' in 'cellSysutil' module (0x5d6f84)
LDR: ! Imported function 'cellSaveDataDelete2' in 'cellSysutil' module (0x5d6fa4)
LDR: ! Imported function 'cellAudioOutGetState' in 'cellSysutil' module (0x5d6fc4)
LDR: ! Imported function 'cellSaveDataAutoLoad2' in 'cellSysutil' module (0x5d6fe4)
LDR: E Unimplemented function 'UTF8toUCS2' in 'cellL10n' module (0x5d7004)
LDR: E Unimplemented function 'UCS2toSJIS' in 'cellL10n' module (0x5d7024)
LDR: E Unimplemented function 'SJIStoUTF8' in 'cellL10n' module (0x5d7044)
LDR: E Unimplemented function 'UCS2toUTF8' in 'cellL10n' module (0x5d7064)
LDR: E Unimplemented function 'SJIStoUCS2' in 'cellL10n' module (0x5d7084)
LDR: E Unimplemented function 'UTF8toSJIS' in 'cellL10n' module (0x5d70a4)
