HLE: ! path: /dev_hdd0/game/
LDR: E PSFLoader::Load() failed: unknown magic (0x0)
LDR: ! Loading 'D:/Emulateurs/Rpcs3/dev_hdd0/game/BLES00927-[VANQUISH]/PS3_GAME/USRDIR/BOOT.BIN'...
G: W fs::file::open('D:/Emulateurs/Rpcs3/dev_hdd0/game/BLES00927-[VANQUISH]/PS3_GAME/dev_bdvd.path', 0x1) failed: error 0x2
LDR: !  
LDR: ! Mount info:
LDR: ! /dev_usb000/ -> D:/Emulateurs/Rpcs3/dev_usb000/
LDR: ! /dev_flash/ -> D:/Emulateurs/Rpcs3/dev_flash/
LDR: ! /host_root/ -> 
LDR: ! /dev_hdd0/ -> D:/Emulateurs/Rpcs3/dev_hdd0/
LDR: ! /dev_hdd1/ -> D:/Emulateurs/Rpcs3/dev_hdd1/
LDR: ! /dev_bdvd/ -> D:/Emulateurs/Rpcs3/dev_hdd0/game/BLES00927-[VANQUISH]/
LDR: ! /dev_usb/ -> D:/Emulateurs/Rpcs3/dev_usb000/
LDR: !  
LDR: ! Title: VANQUISH
LDR: ! Serial: BLES00927
LDR: ! Elf path: /dev_bdvd/PS3_GAME/USRDIR/BOOT.BIN
LDR: ! loader::init() failed: Broken file
MEM: ! Initializing memory: g_base_addr = 0x5d85e80000, g_priv_addr = 0x5e85e80000
MEM: ! Memory initialized.
LDR: ! Imported function 'cellPadInit' in 'sys_io' module (0x12cc110)
LDR: ! Imported function 'cellKbGetConfiguration' in 'sys_io' module (0x12cc130)
LDR: ! Imported function 'cellKbClearBuf' in 'sys_io' module (0x12cc150)
LDR: ! Imported function 'cellKbGetInfo' in 'sys_io' module (0x12cc170)
LDR: ! Imported function 'cellMouseGetData' in 'sys_io' module (0x12cc190)
LDR: ! Imported function 'cellKbInit' in 'sys_io' module (0x12cc1b0)
LDR: ! Imported function 'cellKbCnvRawCode' in 'sys_io' module (0x12cc1d0)
LDR: ! Imported function 'cellPadEnd' in 'sys_io' module (0x12cc1f0)
LDR: ! Imported function 'cellPadSetPortSetting' in 'sys_io' module (0x12cc210)
LDR: ! Imported function 'cellMouseGetInfo' in 'sys_io' module (0x12cc230)
LDR: ! Imported function 'cellPadGetData' in 'sys_io' module (0x12cc250)
LDR: ! Imported function 'cellKbSetCodeType' in 'sys_io' module (0x12cc270)
LDR: ! Imported function 'cellPadGetInfo2' in 'sys_io' module (0x12cc290)
LDR: ! Imported function 'cellKbEnd' in 'sys_io' module (0x12cc2b0)
LDR: ! Imported function 'cellMouseInit' in 'sys_io' module (0x12cc2d0)
LDR: ! Imported function 'cellKbSetReadMode' in 'sys_io' module (0x12cc2f0)
LDR: ! Imported function 'cellMouseEnd' in 'sys_io' module (0x12cc310)
LDR: ! Imported function 'cellPadSetActDirect' in 'sys_io' module (0x12cc330)
LDR: ! Imported function 'cellKbRead' in 'sys_io' module (0x12cc350)
LDR: ! Imported function 'cellFsClose' in 'sys_fs' module (0x12cc370)
LDR: ! Imported function 'cellFsOpendir' in 'sys_fs' module (0x12cc390)
LDR: ! Imported function 'cellFsRead' in 'sys_fs' module (0x12cc3b0)
LDR: ! Imported function 'cellFsReaddir' in 'sys_fs' module (0x12cc3d0)
LDR: ! Imported function 'cellFsOpen' in 'sys_fs' module (0x12cc3f0)
LDR: ! Imported function 'cellFsStat' in 'sys_fs' module (0x12cc410)
LDR: ! Imported function 'cellFsMkdir' in 'sys_fs' module (0x12cc430)
LDR: ! Imported function 'cellFsWrite' in 'sys_fs' module (0x12cc450)
LDR: ! Imported function 'cellFsFstat' in 'sys_fs' module (0x12cc470)
LDR: ! Imported function 'cellFsClosedir' in 'sys_fs' module (0x12cc490)
LDR: ! Imported function 'cellFsFtruncate' in 'sys_fs' module (0x12cd5b0)
LDR: ! Imported function 'cellFsUnlink' in 'sys_fs' module (0x12cd5d0)
LDR: ! Imported function 'cellFsFsync' in 'sys_fs' module (0x12cd5f0)
