HLE: ! path: /dev_hdd0/game/
LDR: E PSFLoader::Load() failed: unknown magic (0x0)
LDR: ! Loading 'D:/Emulateurs/Rpcs3/dev_hdd0/game/BLES00978-[Dragon Ball Raging Blast 2]/PS3_GAME/USRDIR/BOOT.BIN'...
G: W fs::file::open('D:/Emulateurs/Rpcs3/dev_hdd0/game/BLES00978-[Dragon Ball Raging Blast 2]/PS3_GAME/dev_bdvd.path', 0x1) failed: error 0x2
LDR: !  
LDR: ! Mount info:
LDR: ! /dev_usb000/ -> D:/Emulateurs/Rpcs3/dev_usb000/
LDR: ! /dev_flash/ -> D:/Emulateurs/Rpcs3/dev_flash/
LDR: ! /host_root/ -> 
LDR: ! /dev_hdd0/ -> D:/Emulateurs/Rpcs3/dev_hdd0/
LDR: ! /dev_hdd1/ -> D:/Emulateurs/Rpcs3/dev_hdd1/
LDR: ! /dev_bdvd/ -> D:/Emulateurs/Rpcs3/dev_hdd0/game/BLES00978-[Dragon Ball Raging Blast 2]/
LDR: ! /dev_usb/ -> D:/Emulateurs/Rpcs3/dev_usb000/
LDR: !  
LDR: ! Title: Dragon Ball: Raging Blast 2
LDR: ! Serial: BLES00978
LDR: ! Elf path: /dev_bdvd/PS3_GAME/USRDIR/BOOT.BIN
LDR: ! loader::init() failed: Broken file
MEM: ! Initializing memory: g_base_addr = 0x14b9830000, g_priv_addr = 0x15b9830000
MEM: ! Memory initialized.
LDR: ! Imported function 'cellSysutilUnregisterCallback' in 'cellSysutil' module (0x5e97e0)
LDR: ! Imported function 'cellVideoOutConfigure' in 'cellSysutil' module (0x5e9800)
LDR: ! Imported function 'cellSysutilCheckCallback' in 'cellSysutil' module (0x5e9820)
LDR: ! Imported function 'cellSaveDataListLoad2' in 'cellSysutil' module (0x5e9840)
LDR: ! Imported function 'cellMsgDialogClose' in 'cellSysutil' module (0x5e9860)
LDR: ! Imported function 'cellSaveDataListAutoLoad' in 'cellSysutil' module (0x5e9880)
LDR: ! Imported function 'cellSysutilEnableBgmPlayback' in 'cellSysutil' module (0x5e98a0)
LDR: ! Imported function 'cellSaveDataFixedLoad2' in 'cellSysutil' module (0x5e98c0)
LDR: ! Imported function 'cellSaveDataFixedSave2' in 'cellSysutil' module (0x5e98e0)
LDR: ! Imported function 'cellSaveDataListSave2' in 'cellSysutil' module (0x5e9900)
LDR: ! Imported function 'cellSysutilGetSystemParamInt' in 'cellSysutil' module (0x5e9920)
LDR: ! Imported function 'cellAudioOutConfigure' in 'cellSysutil' module (0x5e9940)
LDR: ! Imported function 'cellSaveDataListAutoSave' in 'cellSysutil' module (0x5e9960)
LDR: ! Imported function 'cellSysutilGetBgmPlaybackStatus2' in 'cellSysutil' module (0x5e9980)
LDR: ! Imported function 'cellMsgDialogOpen2' in 'cellSysutil' module (0x5e99a0)
LDR: ! Imported function 'cellVideoOutGetState' in 'cellSysutil' module (0x5e99c0)
LDR: ! Imported function 'cellSaveDataAutoSave2' in 'cellSysutil' module (0x5e99e0)
LDR: ! Imported function 'cellMsgDialogProgressBarInc' in 'cellSysutil' module (0x5e9a00)
LDR: ! Imported function 'cellMsgDialogProgressBarSetMsg' in 'cellSysutil' module (0x5e9a20)
LDR: ! Imported function 'cellSysutilRegisterCallback' in 'cellSysutil' module (0x5e9a40)
LDR: ! Imported function 'cellVideoOutGetResolutionAvailability' in 'cellSysutil' module (0x5e9a60)
LDR: ! Imported function 'cellAudioOutGetSoundAvailability' in 'cellSysutil' module (0x5e9a80)
LDR: ! Imported function 'cellSaveDataFixedDelete' in 'cellSysutil' module (0x5e9aa0)
LDR: ! Imported function 'cellSysutilDisableBgmPlayback' in 'cellSysutil' module (0x5e9ac0)
LDR: ! Imported function 'cellVideoOutGetResolution' in 'cellSysutil' module (0x5e9ae0)
LDR: ! Imported function 'cellSaveDataEnableOverlay' in 'cellSysutil' module (0x5e9b00)
LDR: ! Imported function 'cellSaveDataDelete2' in 'cellSysutil' module (0x5e9b20)
LDR: ! Imported function 'cellAudioOutGetState' in 'cellSysutil' module (0x5e9b40)
LDR: ! Imported function 'cellSaveDataAutoLoad2' in 'cellSysutil' module (0x5e9b60)
LDR: E Unimplemented function 'UTF8toUCS2' in 'cellL10n' module (0x5e9b80)
LDR: E Unimplemented function 'UCS2toSJIS' in 'cellL10n' module (0x5e9ba0)
LDR: E Unimplemented function 'SJIStoUTF8' in 'cellL10n' module (0x5e9bc0)
LDR: E Unimplemented function 'UCS2toUTF8' in 'cellL10n' module (0x5e9be0)
LDR: E Unimplemented function 'SJIStoUCS2' in 'cellL10n' module (0x5e9c00)
LDR: E Unimplemented function 'UTF8toSJIS' in 'cellL10n' module (0x5e9c20)
LDR: ! Imported function 'cellRtcGetCurrentClockLocalTime' in 'cellRtc' module (0x5e9c40)
LDR: ! Imported function 'cellRtcGetCurrentTick' in 'cellRtc' module (0x5e9c60)
LDR: ! Imported function 'cellRtcGetDayOfWeek' in 'cellRtc' module (0x5e9c80)
LDR: ! Imported function 'cellAudioInit' in 'cellAudio' module (0x5e9ca0)
LDR: ! Imported function 'cellAudioSetNotifyEventQueue' in 'cellAudio' module (0x5e9cc0)
LDR: ! Imported function 'cellAudioGetPortTimestamp' in 'cellAudio' module (0x5e9ce0)
LDR: ! Imported function 'cellAudioPortClose' in 'cellAudio' module (0x5e9d00)
LDR: ! Imported function 'cellAudioPortStop' in 'cellAudio' module (0x5e9d20)
LDR: ! Imported function 'cellAudioGetPortConfig' in 'cellAudio' module (0x5e9d40)
LDR: ! Imported function 'cellAudioPortStart' in 'cellAudio' module (0x5e9d60)
LDR: ! Imported function 'cellAudioQuit' in 'cellAudio' module (0x5e9d80)
LDR: ! Imported function 'cellAudioPortOpen' in 'cellAudio' module (0x5e9da0)
LDR: ! Imported function 'cellAudioGetPortBlockTag' in 'cellAudio' module (0x5e9dc0)
LDR: ! Imported function 'cellAudioRemoveNotifyEventQueue' in 'cellAudio' module (0x5e9de0)
LDR: ! Imported function 'cellAudioCreateNotifyEventQueue' in 'cellAudio' module (0x5ea6a0)
LDR: ! Imported function 'cellVdecOpenEx' in 'libvdec' module (0x5e9e00)
