LDR: E PSFLoader::Load() failed: unknown magic (0x0)
G: ! Stopping emulator...
LDR: ! Loading 'D:/Emulateurs/Rpcs3/dev_hdd0/game/BLES01897-[KINGDOM HEARTS HD 1.5 ReMIX]/PS3_GAME/USRDIR/BOOT.BIN'...
G: W fs::file::open('D:/Emulateurs/Rpcs3/dev_hdd0/game/BLES01897-[KINGDOM HEARTS HD 1.5 ReMIX]/PS3_GAME/dev_bdvd.path', 0x1) failed: error 0x2
LDR: !  
LDR: ! Mount info:
LDR: ! /dev_usb000/ -> D:/Emulateurs/Rpcs3/dev_usb000/
LDR: ! /dev_flash/ -> D:/Emulateurs/Rpcs3/dev_flash/
LDR: ! /host_root/ -> 
LDR: ! /dev_hdd0/ -> D:/Emulateurs/Rpcs3/dev_hdd0/
LDR: ! /dev_hdd1/ -> D:/Emulateurs/Rpcs3/dev_hdd1/
LDR: ! /dev_bdvd/ -> D:/Emulateurs/Rpcs3/dev_hdd0/game/BLES01897-[KINGDOM HEARTS HD 1.5 ReMIX]/
LDR: ! /dev_usb/ -> D:/Emulateurs/Rpcs3/dev_usb000/
LDR: !  
LDR: ! Title: KINGDOM HEARTS HD 1.5 ReMIX
LDR: ! Serial: BLES01897
LDR: ! Elf path: /dev_bdvd/PS3_GAME/USRDIR/BOOT.BIN
LDR: ! loader::init() failed: Broken file
LDR: ! *** sdk version: 0x440001
LDR: ! *** primary prio: 1001
LDR: ! *** primary stacksize: 0x10000
LDR: ! *** malloc pagesize: 0x100000
LDR: ! *** ppc seg: 0x0
LDR: ! Imported function 'cellPamfReaderGetPresentationStartTime' in 'cellPamf' module (0x114ac0)
LDR: ! Imported function 'cellPamfReaderGetPresentationEndTime' in 'cellPamf' module (0x114af8)
LDR: ! Imported function 'cellSailGraphicsAdapterGetFrame' in 'cellSail' module (0x114b30)
LDR: ! Imported function 'cellSailDescriptorCreateDatabase' in 'cellSail' module (0x114b68)
LDR: ! Imported function 'cellSailPlayerSetSoundAdapter' in 'cellSail' module (0x114ba0)
LDR: ! Imported function 'cellSailGraphicsAdapterPtsToTimePosition' in 'cellSail' module (0x114bd8)
LDR: ! Imported function 'cellSailPlayerFinalize' in 'cellSail' module (0x114c10)
LDR: ! Imported function 'cellSailPlayerSetGraphicsAdapter' in 'cellSail' module (0x114c48)
LDR: ! Imported function 'cellSailGraphicsAdapterInitialize' in 'cellSail' module (0x114c80)
LDR: ! Imported function 'cellSailSoundAdapterSetPreferredFormat' in 'cellSail' module (0x114cb8)
LDR: ! Imported function 'cellSailPlayerInitialize2' in 'cellSail' module (0x114cf0)
LDR: ! Imported function 'cellSailDescriptorDestroyDatabase' in 'cellSail' module (0x114d28)
LDR: ! Imported function 'cellSailGraphicsAdapterSetPreferredFormat' in 'cellSail' module (0x114d60)
LDR: ! Imported function 'cellSailMemAllocatorInitialize' in 'cellSail' module (0x114d98)
LDR: ! Imported function 'cellSailPlayerOpenStream' in 'cellSail' module (0x114dd0)
LDR: ! Imported function 'cellSailSoundAdapterInitialize' in 'cellSail' module (0x114e08)
LDR: ! Imported function 'cellSailGraphicsAdapterUpdateAvSync' in 'cellSail' module (0x114e40)
LDR: ! Imported function 'cellSailDescriptorGetUri' in 'cellSail' module (0x114e78)
LDR: ! Imported function 'cellSailMp4MovieGetMovieInfo' in 'cellSail' module (0x114eb0)
LDR: ! Imported function 'cellSailPlayerSetParameter' in 'cellSail' module (0x114ee8)
LDR: ! Imported function 'cellSailPlayerUnsubscribeEvent' in 'cellSail' module (0x114f20)
LDR: ! Imported function 'cellSailAviMovieGetMovieInfo' in 'cellSail' module (0x114f58)
LDR: ! Imported function 'cellSailGraphicsAdapterFinalize' in 'cellSail' module (0x114f90)
LDR: ! Imported function 'cellSailPlayerAddDescriptor' in 'cellSail' module (0x114fc8)
LDR: ! Imported function 'cellSailSoundAdapterGetFrame' in 'cellSail' module (0x115000)
LDR: ! Imported function 'cellSailPlayerCloseStream' in 'cellSail' module (0x115038)
LDR: ! Imported function 'cellSailPlayerIsPaused' in 'cellSail' module (0x115070)
LDR: ! Imported function 'cellSailPlayerBoot' in 'cellSail' module (0x1150a8)
LDR: ! Imported function 'cellSailSoundAdapterFinalize' in 'cellSail' module (0x1150e0)
LDR: ! Imported function 'cellSailPlayerSetPaused' in 'cellSail' module (0x115118)
LDR: ! Imported function 'cellSailDescriptorGetStreamType' in 'cellSail' module (0x115150)
LDR: ! Imported function 'cellSailPlayerCreateDescriptor' in 'cellSail' module (0x115188)
LDR: ! Imported function 'cellSailPlayerStart' in 'cellSail' module (0x1151c0)
LDR: ! Imported function 'cellSailPlayerStop' in 'cellSail' module (0x1151f8)
LDR: ! Imported function 'cellSailSoundAdapterUpdateAvSync' in 'cellSail' module (0x115230)
LDR: ! Imported function 'cellSailSoundAdapterGetFormat' in 'cellSail' module (0x115268)
LDR: ! Imported function 'cellSailPlayerDestroyDescriptor' in 'cellSail' module (0x1152a0)
LDR: ! Imported function 'cellSailGraphicsAdapterGetFormat' in 'cellSail' module (0x1152d8)
LDR: ! Imported function 'cellGcmGetTiledPitchSize' in 'cellGcmSys' module (0x115310)
LDR: ! Imported function '_cellGcmInitBody' in 'cellGcmSys' module (0x115348)
LDR: ! Imported function '_cellGcmSetFlipCommand' in 'cellGcmSys' module (0x115380)
LDR: ! Imported function 'cellGcmAddressToOffset' in 'cellGcmSys' module (0x1153b8)
LDR: ! Imported function '_cellGcmFunc15' in 'cellGcmSys' module (0x1153f0)
LDR: ! Imported function 'cellGcmBindTile' in 'cellGcmSys' module (0x115428)
LDR: ! Imported function 'cellGcmSetFlipMode' in 'cellGcmSys' module (0x115460)
LDR: ! Imported function 'cellGcmGetDefaultCommandWordSize' in 'cellGcmSys' module (0x115498)
LDR: ! Imported function 'cellGcmGetLastFlipTime' in 'cellGcmSys' module (0x1154d0)
LDR: ! Imported function 'cellGcmGetDefaultSegmentWordSize' in 'cellGcmSys' module (0x115508)
LDR: ! Imported function 'cellGcmSetDefaultFifoSize' in 'cellGcmSys' module (0x115540)
LDR: ! Imported function 'cellGcmBindZcull' in 'cellGcmSys' module (0x115578)
