HLE: ! path: /dev_hdd0/game/
LDR: E PSFLoader::Load() failed: unknown magic (0x0)
LDR: ! Loading 'D:/Emulateurs/Rpcs3/dev_hdd0/game/BLJM60329-[CLANNAD]/PS3_GAME/USRDIR/BOOT.BIN'...
G: W fs::file::open('D:/Emulateurs/Rpcs3/dev_hdd0/game/BLJM60329-[CLANNAD]/PS3_GAME/dev_bdvd.path', 0x1) failed: error 0x2
LDR: !  
LDR: ! Mount info:
LDR: ! /dev_usb000/ -> D:/Emulateurs/Rpcs3/dev_usb000/
LDR: ! /dev_flash/ -> D:/Emulateurs/Rpcs3/dev_flash/
LDR: ! /host_root/ -> 
LDR: ! /dev_hdd0/ -> D:/Emulateurs/Rpcs3/dev_hdd0/
LDR: ! /dev_hdd1/ -> D:/Emulateurs/Rpcs3/dev_hdd1/
LDR: ! /dev_bdvd/ -> D:/Emulateurs/Rpcs3/dev_hdd0/game/BLJM60329-[CLANNAD]/
LDR: ! /dev_usb/ -> D:/Emulateurs/Rpcs3/dev_usb000/
LDR: !  
LDR: ! Title: CLANNAD
LDR: ! Serial: BLJM60329
LDR: ! Elf path: /dev_bdvd/PS3_GAME/USRDIR/BOOT.BIN
LDR: ! loader::init() failed: Broken file
MEM: ! Initializing memory: g_base_addr = 0xd29d0f0000, g_priv_addr = 0xd39d0f0000
MEM: ! Memory initialized.
LDR: ! Imported function 'cellPadClearBuf' in 'sys_io' module (0x1f6728)
LDR: ! Imported function 'cellPadInit' in 'sys_io' module (0x1f6748)
LDR: ! Imported function 'cellPadEnd' in 'sys_io' module (0x1f6768)
LDR: ! Imported function 'cellPadSetPortSetting' in 'sys_io' module (0x1f6788)
LDR: ! Imported function 'cellPadGetData' in 'sys_io' module (0x1f67a8)
LDR: ! Imported function 'cellPadGetInfo2' in 'sys_io' module (0x1f67c8)
LDR: ! Imported function 'cellPadSetActDirect' in 'sys_io' module (0x1f67e8)
LDR: ! Imported function 'cellFsClose' in 'sys_fs' module (0x1f6808)
LDR: ! Imported function 'cellFsRead' in 'sys_fs' module (0x1f6828)
LDR: ! Imported function 'cellFsOpen' in 'sys_fs' module (0x1f6848)
LDR: ! Imported function 'cellFsStat' in 'sys_fs' module (0x1f6868)
LDR: ! Imported function 'cellFsUnlink' in 'sys_fs' module (0x1f6888)
LDR: ! Imported function 'cellFsMkdir' in 'sys_fs' module (0x1f68a8)
LDR: ! Imported function 'cellFsWrite' in 'sys_fs' module (0x1f68c8)
LDR: ! Imported function 'cellFsRmdir' in 'sys_fs' module (0x1f8688)
LDR: ! Imported function 'cellFsOpendir' in 'sys_fs' module (0x1f86a8)
LDR: ! Imported function 'cellFsReaddir' in 'sys_fs' module (0x1f86c8)
LDR: ! Imported function 'cellFsSdataOpenByFd' in 'sys_fs' module (0x1f86e8)
LDR: ! Imported function 'cellFsFsync' in 'sys_fs' module (0x1f8708)
LDR: ! Imported function 'cellFsLseek' in 'sys_fs' module (0x1f8728)
LDR: ! Imported function 'cellFsGetFreeSize' in 'sys_fs' module (0x1f8748)
LDR: ! Imported function 'cellFsSdataOpen' in 'sys_fs' module (0x1f8768)
LDR: ! Imported function 'cellFsFstat' in 'sys_fs' module (0x1f8788)
LDR: ! Imported function 'cellFsClosedir' in 'sys_fs' module (0x1f87a8)
LDR: ! Imported function 'cellSysmoduleUnloadModule' in 'cellSysmodule' module (0x1f68e8)
LDR: ! Imported function 'cellSysmoduleLoadModule' in 'cellSysmodule' module (0x1f6908)
LDR: ! Imported function 'cellSysmoduleIsLoaded' in 'cellSysmodule' module (0x1f6928)
LDR: ! Imported function 'cellSysmoduleInitialize' in 'cellSysmodule' module (0x1f6948)
LDR: ! Imported function 'cellSysmoduleFinalize' in 'cellSysmodule' module (0x1f6968)
LDR: ! Imported function 'cellSysutilUnregisterCallback' in 'cellSysutil' module (0x1f6988)
LDR: ! Imported function 'cellVideoOutConfigure' in 'cellSysutil' module (0x1f69a8)
LDR: ! Imported function 'cellSysutilCheckCallback' in 'cellSysutil' module (0x1f69c8)
LDR: ! Imported function 'cellSaveDataListLoad2' in 'cellSysutil' module (0x1f69e8)
LDR: ! Imported function 'cellSysCacheMount' in 'cellSysutil' module (0x1f6a08)
LDR: ! Imported function 'cellMsgDialogClose' in 'cellSysutil' module (0x1f6a28)
LDR: ! Imported function 'cellSaveDataListSave2' in 'cellSysutil' module (0x1f6a48)
LDR: E Unimplemented function 'cellOskDialogUnloadAsync' in 'cellSysutil' module (0x1f6a68)
LDR: ! Imported function 'cellSysutilGetSystemParamInt' in 'cellSysutil' module (0x1f6a88)
LDR: ! Imported function 'cellAudioOutConfigure' in 'cellSysutil' module (0x1f6aa8)
LDR: ! Imported function 'cellMsgDialogAbort' in 'cellSysutil' module (0x1f6ac8)
LDR: ! Imported function 'cellSysCacheClear' in 'cellSysutil' module (0x1f6ae8)
LDR: ! Imported function 'cellMsgDialogOpen2' in 'cellSysutil' module (0x1f6b08)
LDR: ! Imported function 'cellMsgDialogProgressBarReset' in 'cellSysutil' module (0x1f6b28)
LDR: E Unimplemented function 'cellOskDialogLoadAsync' in 'cellSysutil' module (0x1f6b48)
LDR: ! Imported function 'cellVideoOutGetState' in 'cellSysutil' module (0x1f6b68)
LDR: ! Imported function 'cellSaveDataAutoSave2' in 'cellSysutil' module (0x1f6b88)
LDR: ! Imported function 'cellMsgDialogProgressBarInc' in 'cellSysutil' module (0x1f6ba8)
LDR: ! Imported function 'cellSysutilRegisterCallback' in 'cellSysutil' module (0x1f6bc8)
LDR: ! Imported function 'cellVideoOutGetResolutionAvailability' in 'cellSysutil' module (0x1f6be8)
LDR: E Unimplemented function 'cellOskDialogSetKeyLayoutOption' in 'cellSysutil' module (0x1f6c08)
LDR: E Unimplemented function 'cellOskDialogAbort' in 'cellSysutil' module (0x1f6c28)
LDR: ! Imported function 'cellAudioOutGetSoundAvailability' in 'cellSysutil' module (0x1f6c48)
LDR: ! Imported function 'cellVideoOutGetResolution' in 'cellSysutil' module (0x1f6c68)
LDR: ! Imported function 'cellSaveDataDelete2' in 'cellSysutil' module (0x1f6c88)
LDR: E Unimplemented function 'cellOskDialogSetLayoutMode' in 'cellSysutil' module (0x1f6ca8)
LDR: ! Imported function 'cellAudioOutGetState' in 'cellSysutil' module (0x1f6cc8)
LDR: ! Imported function 'cellSaveDataAutoLoad2' in 'cellSysutil' module (0x1f6ce8)
LDR: ! Imported function 'cellGameGetParamString' in 'cellGame' module (0x1f6d08)
LDR: ! Imported function 'cellGameCreateGameData' in 'cellGame' module (0x1f6d28)
LDR: ! Imported function 'cellGameContentPermit' in 'cellGame' module (0x1f6d48)
LDR: ! Imported function 'cellGameContentErrorDialog' in 'cellGame' module (0x1f6d68)
LDR: ! Imported function 'cellGameDeleteGameData' in 'cellGame' module (0x1f6d88)
LDR: ! Imported function 'cellGameDataCheck' in 'cellGame' module (0x1f6da8)
LDR: ! Imported function 'cellGameBootCheck' in 'cellGame' module (0x1f6dc8)
LDR: ! Imported function 'sceNpDrmVerifyUpgradeLicense' in 'sceNp' module (0x1f6de8)
LDR: ! Imported function 'sceNpTerm' in 'sceNp' module (0x1f6e08)
LDR: ! Imported function 'sceNpManagerGetStatus' in 'sceNp' module (0x1f6e28)
LDR: ! Imported function 'sceNpInit' in 'sceNp' module (0x1f6e48)
LDR: ! Imported function 'sceNpDrmIsAvailable2' in 'sceNp' module (0x1f6e68)
LDR: ! Imported function 'sceNpManagerGetNpId' in 'sceNp' module (0x1f6e88)
LDR: ! Imported function 'cellGcmInitCursor' in 'cellGcmSys' module (0x1f6ea8)
LDR: ! Imported function '_cellGcmInitBody' in 'cellGcmSys' module (0x1f6ec8)
LDR: ! Imported function 'cellGcmSetCursorPosition' in 'cellGcmSys' module (0x1f6ee8)
LDR: ! Imported function '_cellGcmSetFlipCommand' in 'cellGcmSys' module (0x1f6f08)
LDR: ! Imported function 'cellGcmAddressToOffset' in 'cellGcmSys' module (0x1f6f28)
LDR: ! Imported function 'cellGcmIoOffsetToAddress' in 'cellGcmSys' module (0x1f6f48)
LDR: ! Imported function '_cellGcmFunc15' in 'cellGcmSys' module (0x1f6f68)
LDR: ! Imported function 'cellGcmBindTile' in 'cellGcmSys' module (0x1f6f88)
LDR: ! Imported function 'cellGcmSetFlipMode' in 'cellGcmSys' module (0x1f6fa8)
LDR: ! Imported function 'cellGcmSetDebugOutputLevel' in 'cellGcmSys' module (0x1f6fc8)
LDR: ! Imported function 'cellGcmGetDefaultCommandWordSize' in 'cellGcmSys' module (0x1f6fe8)
LDR: ! Imported function 'cellGcmGetLastFlipTime' in 'cellGcmSys' module (0x1f7008)
LDR: ! Imported function 'cellGcmMapEaIoAddress' in 'cellGcmSys' module (0x1f7028)
LDR: ! Imported function 'cellGcmSetCursorDisable' in 'cellGcmSys' module (0x1f7048)
LDR: ! Imported function 'cellGcmGetFlipStatus' in 'cellGcmSys' module (0x1f7068)
LDR: ! Imported function 'cellGcmGetDefaultSegmentWordSize' in 'cellGcmSys' module (0x1f7088)
LDR: ! Imported function 'cellGcmGetReport' in 'cellGcmSys' module (0x1f70a8)
LDR: ! Imported function 'cellGcmSetDefaultFifoSize' in 'cellGcmSys' module (0x1f70c8)
LDR: ! Imported function 'cellGcmBindZcull' in 'cellGcmSys' module (0x1f70e8)
LDR: ! Imported function 'cellGcmMapMainMemory' in 'cellGcmSys' module (0x1f7108)
LDR: ! Imported function 'cellGcmSetFlipHandler' in 'cellGcmSys' module (0x1f7128)
LDR: ! Imported function 'cellGcmSetDisplayBuffer' in 'cellGcmSys' module (0x1f7148)
LDR: ! Imported function 'cellGcmGetControlRegister' in 'cellGcmSys' module (0x1f7168)
LDR: ! Imported function 'cellGcmGetReportDataLocation' in 'cellGcmSys' module (0x1f7188)
LDR: ! Imported function 'cellGcmUnbindZcull' in 'cellGcmSys' module (0x1f71a8)
LDR: ! Imported function 'cellGcmSetVBlankHandler' in 'cellGcmSys' module (0x1f71c8)
LDR: ! Imported function 'cellGcmResetFlipStatus' in 'cellGcmSys' module (0x1f71e8)
LDR: ! Imported function 'cellGcmSetTileInfo' in 'cellGcmSys' module (0x1f7208)
LDR: ! Imported function 'cellGcmUpdateCursor' in 'cellGcmSys' module (0x1f7228)
LDR: ! Imported function 'cellGcmSetCursorEnable' in 'cellGcmSys' module (0x1f7248)
LDR: ! Imported function 'cellGcmSetGraphicsHandler' in 'cellGcmSys' module (0x1f7268)
LDR: ! Imported function '_cellGcmSetFlipCommandWithWaitLabel' in 'cellGcmSys' module (0x1f7288)
LDR: ! Imported function 'cellGcmUnbindTile' in 'cellGcmSys' module (0x1f72a8)
LDR: ! Imported function 'cellGcmGetConfiguration' in 'cellGcmSys' module (0x1f72c8)
LDR: ! Imported function 'cellGcmGetLabelAddress' in 'cellGcmSys' module (0x1f72e8)
LDR: ! Imported function 'cellGcmSetCursorImageOffset' in 'cellGcmSys' module (0x1f7308)
LDR: ! Imported function 'cellRescGetNumColorBuffers' in 'cellResc' module (0x1f7328)
LDR: ! Imported function 'cellRescSetWaitFlip' in 'cellResc' module (0x1f7348)
LDR: ! Imported function 'cellRescSetDsts' in 'cellResc' module (0x1f7368)
LDR: ! Imported function 'cellRescResetFlipStatus' in 'cellResc' module (0x1f7388)
LDR: ! Imported function 'cellRescAdjustAspectRatio' in 'cellResc' module (0x1f73a8)
LDR: ! Imported function 'cellRescSetDisplayMode' in 'cellResc' module (0x1f73c8)
LDR: ! Imported function 'cellRescSetConvertAndFlip' in 'cellResc' module (0x1f73e8)
LDR: ! Imported function 'cellRescExit' in 'cellResc' module (0x1f7408)
LDR: ! Imported function 'cellRescSetFlipHandler' in 'cellResc' module (0x1f7428)
LDR: ! Imported function 'cellRescInit' in 'cellResc' module (0x1f7448)
LDR: ! Imported function 'cellRescGetBufferSize' in 'cellResc' module (0x1f7468)
LDR: ! Imported function 'cellRescGetLastFlipTime' in 'cellResc' module (0x1f7488)
LDR: ! Imported function 'cellRescSetSrc' in 'cellResc' module (0x1f74a8)
LDR: ! Imported function 'cellRescSetBufferAddress' in 'cellResc' module (0x1f74c8)
