·! LDR: Title: Virtua Fighter 5 Final Showdown
·! LDR: Serial: NPEB00913


·! LDR: ** Imported module 'sys_fs' (0x0, 0x0)
·! LDR: **** sys_fs import: [cellFsFtruncate] -> 0x6ce660
·! LDR: **** sys_fs import: [cellFsClose] -> 0x6ce680
·! LDR: **** sys_fs import: [cellFsOpendir] -> 0x6ce6a0
·! LDR: **** sys_fs import: [cellFsRead] -> 0x6ce6c0
·! LDR: **** sys_fs import: [cellFsReaddir] -> 0x6ce6e0
·! LDR: **** sys_fs import: [cellFsOpen] -> 0x6ce700
·! LDR: **** sys_fs import: [cellFsStat] -> 0x6ce720
·! LDR: **** sys_fs import: [cellFsUnlink] -> 0x6ce740
·! LDR: **** sys_fs import: [cellFsFsync] -> 0x6ce760
·! LDR: **** sys_fs import: [cellFsLseek] -> 0x6ce780
·! LDR: **** sys_fs import: [cellFsSdataOpen] -> 0x6ce7a0
·! LDR: **** sys_fs import: [cellFsMkdir] -> 0x6ce7c0
·! LDR: **** sys_fs import: [cellFsWrite] -> 0x6ce7e0
·! LDR: **** sys_fs import: [cellFsFstat] -> 0x6ce800
·! LDR: **** sys_fs import: [cellFsRename] -> 0x6ce820
·! LDR: **** sys_fs import: [cellFsClosedir] -> 0x6ce840
·! LDR: **** sys_fs import: [cellFsRmdir] -> 0x6d0720
·! LDR: **** sys_fs import: [cellFsSdataOpenByFd] -> 0x6d0740
·! LDR: **** sys_fs import: [cellFsGetFreeSize] -> 0x6d0760

·! LDR: ** Imported module 'cellGcmSys' (0x0, 0x0)
·! LDR: **** cellGcmSys import: [cellGcmGetTiledPitchSize] -> 0x6ce860
·! LDR: **** cellGcmSys import: [cellGcmSetQueueHandler] -> 0x6ce880
·! LDR: **** cellGcmSys import: [_cellGcmInitBody] -> 0x6ce8a0
·! LDR: **** cellGcmSys import: [_cellGcmSetFlipCommand] -> 0x6ce8c0
·! LDR: **** cellGcmSys import: [cellGcmAddressToOffset] -> 0x6ce8e0
·! LDR: **** cellGcmSys import: [_cellGcmFunc15] -> 0x6ce900
·! LDR: **** cellGcmSys import: [cellGcmBindTile] -> 0x6ce920
·! LDR: **** cellGcmSys import: [cellGcmSetFlipMode] -> 0x6ce940
·! LDR: **** cellGcmSys import: [cellGcmGetDefaultCommandWordSize] -> 0x6ce960
·! LDR: **** cellGcmSys import: [cellGcmGetFlipStatus] -> 0x6ce980
·! LDR: **** cellGcmSys import: [cellGcmGetDefaultSegmentWordSize] -> 0x6ce9a0
·! LDR: **** cellGcmSys import: [cellGcmGetReport] -> 0x6ce9c0
·! LDR: **** cellGcmSys import: [cellGcmSetDefaultFifoSize] -> 0x6ce9e0
·! LDR: **** cellGcmSys import: [cellGcmMapMainMemory] -> 0x6cea00
·! LDR: **** cellGcmSys import: [cellGcmSetFlipHandler] -> 0x6cea20
·! LDR: **** cellGcmSys import: [cellGcmSetDisplayBuffer] -> 0x6cea40
·! LDR: **** cellGcmSys import: [cellGcmGetControlRegister] -> 0x6cea60
·! LDR: **** cellGcmSys import: [cellGcmSetVBlankHandler] -> 0x6cea80
·! LDR: **** cellGcmSys import: [cellGcmResetFlipStatus] -> 0x6ceaa0
·! LDR: **** cellGcmSys import: [cellGcmSetDefaultCommandBuffer] -> 0x6ceac0
·! LDR: **** cellGcmSys import: [cellGcmSetTileInfo] -> 0x6ceae0
·! LDR: **** cellGcmSys import: [cellGcmInitDefaultFifoMode] -> 0x6ceb00
·! LDR: **** cellGcmSys import: [cellGcmSetZcull] -> 0x6ceb20
·! LDR: **** cellGcmSys import: [_cellGcmSetFlipCommandWithWaitLabel] -> 0x6ceb40
·! LDR: **** cellGcmSys import: [cellGcmUnbindTile] -> 0x6ceb60
·! LDR: **** cellGcmSys import: [cellGcmGetConfiguration] -> 0x6ceb80
·! LDR: **** cellGcmSys import: [cellGcmGetLabelAddress] -> 0x6ceba0

·! LDR: ** Imported module 'sys_io' (0x0, 0x0)
·! LDR: **** sys_io import: [cellPadInit] -> 0x6cebc0
·! LDR: **** sys_io import: [cellPadEnd] -> 0x6cebe0
·! LDR: **** sys_io import: [cellPadSetPortSetting] -> 0x6cec00
·! LDR: **** sys_io import: [cellPadGetData] -> 0x6cec20
·! LDR: **** sys_io import: [cellPadGetInfo2] -> 0x6cec40
·! LDR: **** sys_io import: [cellPadSetActDirect] -> 0x6cec60

·! LDR: ** Imported module 'cellAudio' (0x0, 0x0)
