HLE: ! path: /dev_hdd0/game/
HLE: W No pause.bin found, Auto Pause will not work.
HLE: W No pause.bin found, Auto Pause will not work.
LDR: ! Loading 'D:/Emulateurs/Rpcs3/dev_hdd0/game/NPEA00036/USRDIR/BOOT.BIN'...
LDR: !  
LDR: ! Mount info:
LDR: ! /dev_usb000/ -> D:/Emulateurs/Rpcs3/dev_usb000/
LDR: ! /dev_flash/ -> D:/Emulateurs/Rpcs3/dev_flash/
LDR: ! /host_root/ -> 
LDR: ! /dev_hdd0/ -> D:/Emulateurs/Rpcs3/dev_hdd0/
LDR: ! /dev_hdd1/ -> D:/Emulateurs/Rpcs3/dev_hdd1/
LDR: ! /dev_bdvd/ -> D:/Emulateurs/Rpcs3/dev_hdd0/game/NPEA00036/../
LDR: ! /dev_usb/ -> D:/Emulateurs/Rpcs3/dev_usb000/
LDR: !  
LDR: ! Title: LocoRoco Cocoreccho!™
LDR: ! Serial: NPEA00036
LDR: !  
LDR: ! loader::init() failed: Broken file
MEM: ! Initializing memory: g_base_addr = 0x462c690000, g_priv_addr = 0x472c690000
MEM: ! Memory initialized.
LDR: ! Imported function 'cellAdecDecodeAu' in 'cellAdec' module (0x2ef010)
LDR: ! Imported function 'cellAdecStartSeq' in 'cellAdec' module (0x2ef030)
LDR: ! Imported function 'cellAdecQueryAttr' in 'cellAdec' module (0x2ef050)
LDR: ! Imported function 'cellAdecClose' in 'cellAdec' module (0x2ef070)
LDR: ! Imported function 'cellAdecGetPcm' in 'cellAdec' module (0x2ef090)
LDR: ! Imported function 'cellAdecGetPcmItem' in 'cellAdec' module (0x2ef0b0)
LDR: ! Imported function 'cellAdecOpen' in 'cellAdec' module (0x2ef0d0)
LDR: ! Imported function 'cellAudioInit' in 'cellAudio' module (0x2ef0f0)
LDR: ! Imported function 'cellAudioSetNotifyEventQueue' in 'cellAudio' module (0x2ef110)
LDR: ! Imported function 'cellAudioPortClose' in 'cellAudio' module (0x2ef130)
LDR: ! Imported function 'cellAudioPortStop' in 'cellAudio' module (0x2ef150)
LDR: ! Imported function 'cellAudioGetPortConfig' in 'cellAudio' module (0x2ef170)
LDR: ! Imported function 'cellAudioPortStart' in 'cellAudio' module (0x2ef190)
LDR: ! Imported function 'cellAudioQuit' in 'cellAudio' module (0x2ef1b0)
LDR: ! Imported function 'cellAudioPortOpen' in 'cellAudio' module (0x2ef1d0)
LDR: ! Imported function 'cellDmuxQueryEsAttr' in 'cellDmux' module (0x2ef1f0)
LDR: ! Imported function 'cellDmuxSetStream' in 'cellDmux' module (0x2ef210)
LDR: ! Imported function 'cellDmuxDisableEs' in 'cellDmux' module (0x2ef230)
LDR: ! Imported function 'cellDmuxReleaseAu' in 'cellDmux' module (0x2ef250)
LDR: ! Imported function 'cellDmuxGetAu' in 'cellDmux' module (0x2ef270)
LDR: ! Imported function 'cellDmuxResetStream' in 'cellDmux' module (0x2ef290)
LDR: ! Imported function 'cellDmuxOpen' in 'cellDmux' module (0x2ef2b0)
LDR: ! Imported function 'cellDmuxEnableEs' in 'cellDmux' module (0x2ef2d0)
LDR: ! Imported function 'cellDmuxClose' in 'cellDmux' module (0x2ef2f0)
LDR: ! Imported function 'cellDmuxQueryAttr' in 'cellDmux' module (0x2ef310)
LDR: ! Imported function 'cellFontCreateRenderer' in 'cellFont' module (0x2ef330)
LDR: ! Imported function 'cellFontOpenFontsetOnMemory' in 'cellFont' module (0x2ef350)
LDR: ! Imported function 'cellFontOpenFontFile' in 'cellFont' module (0x2ef370)
LDR: ! Imported function 'cellFontGetHorizontalLayout' in 'cellFont' module (0x2ef390)
