HLE: ! path: /dev_hdd0/game/
HLE: W No pause.bin found, Auto Pause will not work.
HLE: W No pause.bin found, Auto Pause will not work.
LDR: ! Loading 'D:/Emulateurs/Rpcs3/dev_hdd0/game/NPEA00279/USRDIR/BOOT.BIN'...
LDR: !  
LDR: ! Mount info:
LDR: ! /dev_usb000/ -> D:/Emulateurs/Rpcs3/dev_usb000/
LDR: ! /dev_flash/ -> D:/Emulateurs/Rpcs3/dev_flash/
LDR: ! /host_root/ -> 
LDR: ! /dev_hdd0/ -> D:/Emulateurs/Rpcs3/dev_hdd0/
LDR: ! /dev_hdd1/ -> D:/Emulateurs/Rpcs3/dev_hdd1/
LDR: ! /dev_bdvd/ -> D:/Emulateurs/Rpcs3/dev_hdd0/game/NPEA00279/../
LDR: ! /dev_usb/ -> D:/Emulateurs/Rpcs3/dev_usb000/
LDR: !  
LDR: ! Title: ICO™ (PlayStation®Store)
LDR: ! Serial: NPEA00279
LDR: !  
LDR: ! loader::init() failed: Broken file
MEM: ! Initializing memory: g_base_addr = 0xf6596c0000, g_priv_addr = 0xf7596c0000
MEM: ! Memory initialized.
LDR: ! Imported function '_cellFiberPpuContextAttributeInitialize' in 'cellFiber' module (0x3bcedc)
LDR: ! Imported function 'cellFiberPpuContextInitialize' in 'cellFiber' module (0x3bcefc)
LDR: ! Imported function 'cellFiberPpuContextRun' in 'cellFiber' module (0x3bcf1c)
LDR: ! Imported function 'cellFiberPpuContextFinalize' in 'cellFiber' module (0x3bcf3c)
LDR: ! Imported function 'cellFiberPpuContextSwitch' in 'cellFiber' module (0x3bcf5c)
LDR: ! Imported function '_cellFiberPpuInitialize' in 'cellFiber' module (0x3bcf7c)
LDR: ! Imported function 'cellPadInit' in 'sys_io' module (0x3bcf9c)
LDR: ! Imported function 'cellPadGetData' in 'sys_io' module (0x3bcfbc)
LDR: ! Imported function 'cellPadGetInfo2' in 'sys_io' module (0x3bcfdc)
LDR: ! Imported function 'cellPadSetActDirect' in 'sys_io' module (0x3bcffc)
LDR: ! Imported function 'cellFsClose' in 'sys_fs' module (0x3bd01c)
LDR: ! Imported function 'cellFsRead' in 'sys_fs' module (0x3bd03c)
LDR: ! Imported function 'cellFsOpen' in 'sys_fs' module (0x3bd05c)
LDR: ! Imported function 'cellFsStat' in 'sys_fs' module (0x3bd07c)
LDR: E Unimplemented function 'cellFsAioCancel' in 'sys_fs' module (0x3bd09c)
LDR: ! Imported function 'cellFsAioRead' in 'sys_fs' module (0x3bd0bc)
LDR: ! Imported function 'cellFsAioInit' in 'sys_fs' module (0x3bd0dc)
LDR: ! Imported function 'cellFsFstat' in 'sys_fs' module (0x3bd0fc)
LDR: ! Imported function 'cellFsRmdir' in 'sys_fs' module (0x3bdd3c)
LDR: ! Imported function 'cellFsOpendir' in 'sys_fs' module (0x3bdd5c)
LDR: ! Imported function 'cellFsReaddir' in 'sys_fs' module (0x3bdd7c)
