HLE: ! path: /dev_hdd0/game/
LDR: E PSFLoader::Load() failed: unknown magic (0x0)
LDR: ! Loading 'D:/Emulateurs/Rpcs3/dev_hdd0/game/NPEA00280/USRDIR/BOOT.BIN'...
G: W fs::file::open('D:/Emulateurs/Rpcs3/dev_hdd0/game/NPEA00280/dev_bdvd.path', 0x1) failed: error 0x2
LDR: !  
LDR: ! Mount info:
LDR: ! /dev_usb000/ -> D:/Emulateurs/Rpcs3/dev_usb000/
LDR: ! /dev_flash/ -> D:/Emulateurs/Rpcs3/dev_flash/
LDR: ! /host_root/ -> 
LDR: ! /dev_hdd0/ -> D:/Emulateurs/Rpcs3/dev_hdd0/
LDR: ! /dev_hdd1/ -> D:/Emulateurs/Rpcs3/dev_hdd1/
LDR: ! /dev_usb/ -> D:/Emulateurs/Rpcs3/dev_usb000/
LDR: !  
LDR: ! Title: Shadow of the Colossus™ (PlayStation®Store)
LDR: ! Serial: NPEA00280
LDR: ! Elf path: /dev_hdd0/game/NPEA00280/USRDIR/BOOT.BIN
LDR: ! loader::init() failed: Broken file
MEM: ! Initializing memory: g_base_addr = 0xd04e00000, g_priv_addr = 0xe04e00000
MEM: ! Memory initialized.
LDR: ! Imported function 'cellPadInit' in 'sys_io' module (0x4eb6d4)
LDR: ! Imported function 'cellPadGetData' in 'sys_io' module (0x4eb6f4)
LDR: ! Imported function 'cellPadGetInfo2' in 'sys_io' module (0x4eb714)
LDR: ! Imported function 'cellPadSetActDirect' in 'sys_io' module (0x4eb734)
LDR: ! Imported function 'cellRtcGetTime_t' in 'cellRtc' module (0x4eb754)
LDR: ! Imported function 'cellRtcGetCurrentClockLocalTime' in 'cellRtc' module (0x4eb954)
LDR: ! Imported function 'cellRtcGetCurrentClock' in 'cellRtc' module (0x4eb974)
LDR: ! Imported function '_cellFiberPpuContextAttributeInitialize' in 'cellFiber' module (0x4eb774)
LDR: ! Imported function 'cellFiberPpuContextInitialize' in 'cellFiber' module (0x4eb794)
LDR: ! Imported function 'cellFiberPpuContextRun' in 'cellFiber' module (0x4eb7b4)
LDR: ! Imported function 'cellFiberPpuContextFinalize' in 'cellFiber' module (0x4eb7d4)
LDR: ! Imported function 'cellFiberPpuContextSwitch' in 'cellFiber' module (0x4eb7f4)
LDR: ! Imported function '_cellFiberPpuInitialize' in 'cellFiber' module (0x4eb814)
