HLE: ! path: /dev_hdd0/game/
LDR: E PSFLoader::Load() failed: unknown magic (0x0)
LDR: ! Loading 'D:/Emulateurs/Rpcs3/dev_hdd0/game/NPEA00291/USRDIR/BOOT.BIN'...
G: W fs::file::open('D:/Emulateurs/Rpcs3/dev_hdd0/game/NPEA00291/dev_bdvd.path', 0x1) failed: error 0x2
LDR: !  
LDR: ! Mount info:
LDR: ! /dev_usb000/ -> D:/Emulateurs/Rpcs3/dev_usb000/
LDR: ! /dev_flash/ -> D:/Emulateurs/Rpcs3/dev_flash/
LDR: ! /host_root/ -> 
LDR: ! /dev_hdd0/ -> D:/Emulateurs/Rpcs3/dev_hdd0/
LDR: ! /dev_hdd1/ -> D:/Emulateurs/Rpcs3/dev_hdd1/
LDR: ! /dev_usb/ -> D:/Emulateurs/Rpcs3/dev_usb000/
LDR: !  
LDR: ! Title: ModNation™ Racers
LDR: ! Serial: NPEA00291
LDR: ! Elf path: /dev_hdd0/game/NPEA00291/USRDIR/BOOT.BIN
LDR: ! loader::init() failed: Broken file
MEM: ! Initializing memory: g_base_addr = 0xdd6c380000, g_priv_addr = 0xde6c380000
MEM: ! Memory initialized.
LDR: W Unknown module 'cellJpgEnc'
LDR: E Unimplemented function 'cellJpgEncQueryAttr' in 'cellJpgEnc' module (0xd53b9c)
LDR: E Unimplemented function 'cellJpgEncWaitForInput' in 'cellJpgEnc' module (0xd53bd4)
LDR: E Unimplemented function 'cellJpgEncGetStreamInfo' in 'cellJpgEnc' module (0xd53c0c)
LDR: E Unimplemented function 'cellJpgEncEncodePicture2' in 'cellJpgEnc' module (0xd53c44)
LDR: E Unimplemented function 'cellJpgEncClose' in 'cellJpgEnc' module (0xd53c7c)
LDR: E Unimplemented function 'cellJpgEncWaitForOutput' in 'cellJpgEnc' module (0xd53cb4)
LDR: E Unimplemented function 'cellJpgEncOpen' in 'cellJpgEnc' module (0xd53cec)
LDR: W Unknown module 'cellPngEnc'
LDR: E Unimplemented function 'cellPngEncClose' in 'cellPngEnc' module (0xd53d24)
LDR: E Unimplemented function 'cellPngEncQueryAttr' in 'cellPngEnc' module (0xd53d5c)
LDR: E Unimplemented function 'cellPngEncGetStreamInfo' in 'cellPngEnc' module (0xd53d94)
LDR: E Unimplemented function 'cellPngEncEncodePicture' in 'cellPngEnc' module (0xd53dcc)
LDR: E Unimplemented function 'cellPngEncWaitForInput' in 'cellPngEnc' module (0xd53e04)
LDR: E Unimplemented function 'cellPngEncWaitForOutput' in 'cellPngEnc' module (0xd53e3c)
LDR: E Unimplemented function 'cellPngEncOpenEx' in 'cellPngEnc' module (0xd53e74)
LDR: ! Imported function 'cellPngDecCreate' in 'cellPngDec' module (0xd53eac)
LDR: ! Imported function 'cellPngDecDecodeData' in 'cellPngDec' module (0xd53ee4)
LDR: ! Imported function 'cellPngDecClose' in 'cellPngDec' module (0xd53f1c)
LDR: ! Imported function 'cellPngDecDestroy' in 'cellPngDec' module (0xd53f54)
LDR: ! Imported function 'cellPngDecReadHeader' in 'cellPngDec' module (0xd53f8c)
LDR: ! Imported function 'cellPngDecOpen' in 'cellPngDec' module (0xd53fc4)
LDR: ! Imported function 'cellPngDecSetParameter' in 'cellPngDec' module (0xd53ffc)
LDR: ! Imported function 'cellGcmGetTiledPitchSize' in 'cellGcmSys' module (0xd54034)
LDR: ! Imported function 'cellGcmSetUserHandler' in 'cellGcmSys' module (0xd5406c)
LDR: ! Imported function '_cellGcmInitBody' in 'cellGcmSys' module (0xd540a4)
LDR: ! Imported function '_cellGcmSetFlipCommand' in 'cellGcmSys' module (0xd540dc)
LDR: ! Imported function 'cellGcmAddressToOffset' in 'cellGcmSys' module (0xd54114)
LDR: ! Imported function '_cellGcmFunc15' in 'cellGcmSys' module (0xd5414c)
LDR: ! Imported function 'cellGcmBindTile' in 'cellGcmSys' module (0xd54184)
LDR: ! Imported function 'cellGcmSetFlipMode' in 'cellGcmSys' module (0xd541bc)
LDR: ! Imported function 'cellGcmGetDefaultCommandWordSize' in 'cellGcmSys' module (0xd541f4)
LDR: ! Imported function 'cellGcmMapEaIoAddress' in 'cellGcmSys' module (0xd5422c)
LDR: ! Imported function 'cellGcmGetReportDataAddressLocation' in 'cellGcmSys' module (0xd54264)
LDR: ! Imported function 'cellGcmGetDefaultSegmentWordSize' in 'cellGcmSys' module (0xd5429c)
LDR: ! Imported function 'cellGcmSetDefaultFifoSize' in 'cellGcmSys' module (0xd542d4)
LDR: ! Imported function 'cellGcmBindZcull' in 'cellGcmSys' module (0xd5430c)
LDR: ! Imported function 'cellGcmMapMainMemory' in 'cellGcmSys' module (0xd54344)
LDR: ! Imported function 'cellGcmSetFlipHandler' in 'cellGcmSys' module (0xd5437c)
LDR: ! Imported function 'cellGcmSetDisplayBuffer' in 'cellGcmSys' module (0xd543b4)
LDR: ! Imported function 'cellGcmGetControlRegister' in 'cellGcmSys' module (0xd543ec)
LDR: ! Imported function 'cellGcmUnbindZcull' in 'cellGcmSys' module (0xd54424)
LDR: ! Imported function 'cellGcmSetVBlankHandler' in 'cellGcmSys' module (0xd5445c)
LDR: ! Imported function 'cellGcmSetTileInfo' in 'cellGcmSys' module (0xd54494)
LDR: ! Imported function '_cellGcmSetFlipCommandWithWaitLabel' in 'cellGcmSys' module (0xd544cc)
LDR: ! Imported function 'cellGcmUnbindTile' in 'cellGcmSys' module (0xd54504)
LDR: ! Imported function 'cellGcmUnmapIoAddress' in 'cellGcmSys' module (0xd5453c)
LDR: ! Imported function 'cellGcmGetConfiguration' in 'cellGcmSys' module (0xd54574)
LDR: ! Imported function 'cellGcmUnmapEaIoAddress' in 'cellGcmSys' module (0xd545ac)
LDR: ! Imported function 'cellGcmGetLabelAddress' in 'cellGcmSys' module (0xd545e4)
LDR: ! Imported function 'cellSysutilUnregisterCallback' in 'cellSysutil' module (0xd5461c)
LDR: ! Imported function 'cellVideoOutConfigure' in 'cellSysutil' module (0xd54654)
LDR: ! Imported function 'cellSysutilCheckCallback' in 'cellSysutil' module (0xd5468c)
LDR: ! Imported function 'cellSysCacheMount' in 'cellSysutil' module (0xd546c4)
LDR: ! Imported function 'cellVideoOutGetDeviceInfo' in 'cellSysutil' module (0xd546fc)
LDR: ! Imported function 'cellMsgDialogClose' in 'cellSysutil' module (0xd54734)
LDR: E Unimplemented function 'cellOskDialogUnloadAsync' in 'cellSysutil' module (0xd5476c)
LDR: ! Imported function 'cellSysutilGetSystemParamInt' in 'cellSysutil' module (0xd547a4)
LDR: ! Imported function 'cellAudioOutConfigure' in 'cellSysutil' module (0xd547dc)
LDR: ! Imported function 'cellSaveDataUserAutoSave' in 'cellSysutil' module (0xd54814)
LDR: ! Imported function 'cellSysutilGetBgmPlaybackStatus2' in 'cellSysutil' module (0xd5484c)
LDR: ! Imported function 'cellVideoOutGetNumberOfDevice' in 'cellSysutil' module (0xd54884)
LDR: ! Imported function 'cellMsgDialogOpen2' in 'cellSysutil' module (0xd548bc)
LDR: ! Imported function 'cellMsgDialogProgressBarReset' in 'cellSysutil' module (0xd548f4)
LDR: E Unimplemented function 'cellOskDialogAddSupportLanguage' in 'cellSysutil' module (0xd5492c)
LDR: E Unimplemented function 'cellOskDialogLoadAsync' in 'cellSysutil' module (0xd54964)
LDR: ! Imported function 'cellVideoOutGetState' in 'cellSysutil' module (0xd5499c)
LDR: ! Imported function 'cellMsgDialogProgressBarInc' in 'cellSysutil' module (0xd549d4)
LDR: ! Imported function 'cellSysutilRegisterCallback' in 'cellSysutil' module (0xd54a0c)
LDR: ! Imported function 'cellVideoOutGetResolutionAvailability' in 'cellSysutil' module (0xd54a44)
LDR: ! Imported function 'cellSysutilEnableBgmPlaybackEx' in 'cellSysutil' module (0xd54a7c)
LDR: E Unimplemented function 'cellOskDialogSetKeyLayoutOption' in 'cellSysutil' module (0xd54ab4)
LDR: E Unimplemented function 'cellOskDialogAbort' in 'cellSysutil' module (0xd54aec)
LDR: E Unimplemented function 'cellOskDialogSetInitialKeyLayout' in 'cellSysutil' module (0xd54b24)
LDR: ! Imported function 'cellSaveDataUserAutoLoad' in 'cellSysutil' module (0xd54b5c)
LDR: ! Imported function 'cellSysutilDisableBgmPlayback' in 'cellSysutil' module (0xd54b94)
LDR: E Unimplemented function 'cellOskDialogSetDeviceMask' in 'cellSysutil' module (0xd54bcc)
LDR: ! Imported function 'cellVideoOutGetResolution' in 'cellSysutil' module (0xd54c04)
LDR: E Unimplemented function 'cellOskDialogSetLayoutMode' in 'cellSysutil' module (0xd54c3c)
LDR: ! Imported function 'cellAudioOutGetState' in 'cellSysutil' module (0xd54c74)
LDR: ! Imported function 'cellSysutilGetBgmPlaybackStatus' in 'cellSysutil' module (0xd56fac)
LDR: ! Imported function 'cellSaveDataAutoSave2' in 'cellSysutil' module (0xd5843c)
LDR: ! Imported function 'cellSysutilGetSystemParamString' in 'cellSysutil' module (0xd58474)
LDR: ! Imported function 'cellSaveDataAutoLoad2' in 'cellSysutil' module (0xd584ac)
LDR: ! Imported function 'cellFsClose' in 'sys_fs' module (0xd54cac)
LDR: ! Imported function 'cellFsOpendir' in 'sys_fs' module (0xd54ce4)
LDR: ! Imported function 'cellFsRead' in 'sys_fs' module (0xd54d1c)
LDR: ! Imported function 'cellFsReaddir' in 'sys_fs' module (0xd54d54)
LDR: ! Imported function 'cellFsOpen' in 'sys_fs' module (0xd54d8c)
