HLE: ! path: /dev_hdd0/game/
HLE: W No pause.bin found, Auto Pause will not work.
HLE: W No pause.bin found, Auto Pause will not work.
LDR: ! Loading 'D:/Emulateurs/Rpcs3/dev_hdd0/game/NPEB00223/USRDIR/BOOT.BIN'...
LDR: !  
LDR: ! Mount info:
LDR: ! /dev_usb000/ -> D:/Emulateurs/Rpcs3/dev_usb000/
LDR: ! /dev_flash/ -> D:/Emulateurs/Rpcs3/dev_flash/
LDR: ! /host_root/ -> 
LDR: ! /dev_hdd0/ -> D:/Emulateurs/Rpcs3/dev_hdd0/
LDR: ! /dev_hdd1/ -> D:/Emulateurs/Rpcs3/dev_hdd1/
LDR: ! /dev_bdvd/ -> D:/Emulateurs/Rpcs3/dev_hdd0/game/NPEB00223/../
LDR: ! /dev_usb/ -> D:/Emulateurs/Rpcs3/dev_usb000/
LDR: !  
LDR: ! Title: Ricochet HD
LDR: ! Serial: NPEB00223
LDR: !  
LDR: ! loader::init() failed: Broken file
MEM: ! Initializing memory: g_base_addr = 0x6a27040000, g_priv_addr = 0x6b27040000
MEM: ! Memory initialized.
LDR: ! Imported function 'sceNpBasicGetFriendListEntry' in 'sceNp' module (0xabe9a4)
LDR: ! Imported function 'sceNpScoreRecordGameData' in 'sceNp' module (0xabe9c4)
LDR: ! Imported function 'sceNpScoreGetRankingByNpId' in 'sceNp' module (0xabe9e4)
LDR: ! Imported function 'sceNpSignalingGetConnectionInfo' in 'sceNp' module (0xabea04)
LDR: ! Imported function 'sceNpScoreRecordScore' in 'sceNp' module (0xabea24)
LDR: ! Imported function 'sceNpBasicAddPlayersHistory' in 'sceNp' module (0xabea44)
LDR: ! Imported function 'sceNpScoreDestroyTitleCtx' in 'sceNp' module (0xabea64)
LDR: ! Imported function 'sceNpDrmVerifyUpgradeLicense' in 'sceNp' module (0xabea84)
LDR: ! Imported function 'sceNpScoreInit' in 'sceNp' module (0xabeaa4)
LDR: ! Imported function 'sceNpScoreGetGameData' in 'sceNp' module (0xabeac4)
LDR: ! Imported function 'sceNpBasicSetPresence' in 'sceNp' module (0xabeae4)
LDR: ! Imported function 'sceNpBasicRegisterContextSensitiveHandler' in 'sceNp' module (0xabeb04)
LDR: ! Imported function 'sceNpTerm' in 'sceNp' module (0xabeb24)
LDR: ! Imported function 'sceNpSignalingAddExtendedHandler' in 'sceNp' module (0xabeb44)
LDR: ! Imported function 'sceNpManagerUnregisterCallback' in 'sceNp' module (0xabeb64)
LDR: ! Imported function 'sceNpSignalingActivateConnection' in 'sceNp' module (0xabeb84)
LDR: ! Imported function 'sceNpSignalingCreateCtx' in 'sceNp' module (0xabeba4)
LDR: ! Imported function 'sceNpScoreCreateTransactionCtx' in 'sceNp' module (0xabebc4)
LDR: ! Imported function 'sceNpScoreTerm' in 'sceNp' module (0xabebe4)
LDR: ! Imported function 'sceNpManagerGetStatus' in 'sceNp' module (0xabec04)
LDR: ! Imported function 'sceNpSignalingDestroyCtx' in 'sceNp' module (0xabec24)
LDR: ! Imported function 'sceNpBasicUnregisterHandler' in 'sceNp' module (0xabec44)
LDR: ! Imported function 'sceNpBasicGetFriendListEntryCount' in 'sceNp' module (0xabec64)
LDR: ! Imported function 'sceNpScoreCreateTitleCtx' in 'sceNp' module (0xabec84)
LDR: ! Imported function 'sceNpBasicRegisterHandler' in 'sceNp' module (0xabeca4)
LDR: ! Imported function 'sceNpScoreDestroyTransactionCtx' in 'sceNp' module (0xabecc4)
LDR: ! Imported function 'sceNpSignalingGetConnectionStatus' in 'sceNp' module (0xabece4)
LDR: ! Imported function 'sceNpUtilCmpNpId' in 'sceNp' module (0xabed04)
