HLE: ! path: /dev_hdd0/game/
LDR: E PSFLoader::Load() failed: unknown magic (0x0)
G: W rfile_t::open('D:/Emulateurs/Rpcs3/dev_hdd0/game/NPEB00548/PS3_GAME/USRDIR/BOOT.BIN', 0x1) failed: error 0x3
LDR: ! Loading 'D:/Emulateurs/Rpcs3/dev_hdd0/game/NPEB00548/USRDIR/BOOT.BIN'...
LDR: !  
LDR: ! Mount info:
LDR: ! /dev_usb000/ -> D:/Emulateurs/Rpcs3/dev_usb000/
LDR: ! /dev_flash/ -> D:/Emulateurs/Rpcs3/dev_flash/
LDR: ! /host_root/ -> 
LDR: ! /dev_hdd0/ -> D:/Emulateurs/Rpcs3/dev_hdd0/
LDR: ! /dev_hdd1/ -> D:/Emulateurs/Rpcs3/dev_hdd1/
LDR: ! /dev_bdvd/ -> D:/Emulateurs/Rpcs3/dev_hdd0/game/NPEB00548/../
LDR: ! /dev_usb/ -> D:/Emulateurs/Rpcs3/dev_usb000/
LDR: !  
LDR: ! Title: Dante's Inferno™ HDD EN/FR/ES
LDR: ! Serial: NPEB00548
G: W rfile_t::open('D:/Emulateurs/Rpcs3/dev_hdd0/game/NPEB00548/dev_bdvd.path', 0x1) failed: error 0x2
LDR: !  
LDR: ! loader::init() failed: Broken file
MEM: ! Initializing memory: g_base_addr = 0x7ec0c20000, g_priv_addr = 0x7fc0c20000
MEM: ! Memory initialized.
LDR: ! Imported function 'cellAdecDecodeAu' in 'cellAdec' module (0xef342c)
LDR: ! Imported function 'cellAdecStartSeq' in 'cellAdec' module (0xef344c)
LDR: ! Imported function 'cellAdecQueryAttr' in 'cellAdec' module (0xef346c)
LDR: ! Imported function 'cellAdecClose' in 'cellAdec' module (0xef348c)
LDR: ! Imported function 'cellAdecGetPcm' in 'cellAdec' module (0xef34ac)
LDR: ! Imported function 'cellAdecGetPcmItem' in 'cellAdec' module (0xef34cc)
LDR: ! Imported function 'cellAdecOpen' in 'cellAdec' module (0xef34ec)
LDR: ! Imported function 'cellAdecEndSeq' in 'cellAdec' module (0xef350c)
LDR: W Unknown module 'cellCelpEnc'
LDR: E Unimplemented function 'cellCelpEncClose' in 'cellCelpEnc' module (0xef352c)
LDR: E Unimplemented function 'cellCelpEncGetAu' in 'cellCelpEnc' module (0xef354c)
LDR: E Unimplemented function 'cellCelpEncStart' in 'cellCelpEnc' module (0xef356c)
LDR: E Unimplemented function 'cellCelpEncQueryAttr' in 'cellCelpEnc' module (0xef358c)
LDR: E Unimplemented function 'cellCelpEncOpen' in 'cellCelpEnc' module (0xef35ac)
LDR: E Unimplemented function 'cellCelpEncEncodeFrame' in 'cellCelpEnc' module (0xef35cc)
LDR: E Unimplemented function 'cellCelpEncWaitForOutput' in 'cellCelpEnc' module (0xef35ec)
LDR: E Unimplemented function 'cellCelpEncEnd' in 'cellCelpEnc' module (0xef360c)
LDR: ! Imported function 'cellMicRead' in 'cellMic' module (0xef362c)
LDR: ! Imported function 'cellMicIsAttached' in 'cellMic' module (0xef364c)
LDR: ! Imported function 'cellMicSetSignalAttr' in 'cellMic' module (0xef366c)
LDR: ! Imported function 'cellMicInit' in 'cellMic' module (0xef368c)
LDR: ! Imported function 'cellMicClose' in 'cellMic' module (0xef36ac)
LDR: ! Imported function 'cellMicGetSignalState' in 'cellMic' module (0xef36cc)
LDR: ! Imported function 'cellMicEnd' in 'cellMic' module (0xef36ec)
LDR: ! Imported function 'cellMicOpen' in 'cellMic' module (0xef370c)
LDR: ! Imported function 'cellMicStart' in 'cellMic' module (0xef372c)
LDR: ! Imported function 'cellRtcGetCurrentClockLocalTime' in 'cellRtc' module (0xef374c)
LDR: ! Imported function 'cellRtcGetCurrentClock' in 'cellRtc' module (0xef376c)
LDR: ! Imported function 'cellRtcSetTick' in 'cellRtc' module (0xef378c)
LDR: ! Imported function 'cellRtcSetTime_t' in 'cellRtc' module (0xef37ac)
LDR: ! Imported function 'cellRtcGetDayOfWeek' in 'cellRtc' module (0xef37cc)
LDR: ! Imported function 'cellRtcConvertUtcToLocalTime' in 'cellRtc' module (0xef37ec)
LDR: ! Imported function 'cellRtcGetTick' in 'cellRtc' module (0xef380c)
LDR: ! Imported function 'cellRtcGetTime_t' in 'cellRtc' module (0xef382c)
LDR: ! Imported function 'cellPngDecCreate' in 'cellPngDec' module (0xef384c)
LDR: ! Imported function 'cellPngDecDecodeData' in 'cellPngDec' module (0xef386c)
LDR: ! Imported function 'cellPngDecClose' in 'cellPngDec' module (0xef388c)
LDR: ! Imported function 'cellPngDecDestroy' in 'cellPngDec' module (0xef38ac)
LDR: ! Imported function 'cellPngDecReadHeader' in 'cellPngDec' module (0xef38cc)
LDR: ! Imported function 'cellPngDecOpen' in 'cellPngDec' module (0xef38ec)
LDR: ! Imported function 'cellPngDecSetParameter' in 'cellPngDec' module (0xef390c)
LDR: ! Imported function 'sceNpCommerce2DoCheckoutStartAsync' in 'sceNpCommerce2' module (0xef392c)
LDR: ! Imported function 'sceNpCommerce2DestroyReq' in 'sceNpCommerce2' module (0xef394c)
LDR: ! Imported function 'sceNpCommerce2Init' in 'sceNpCommerce2' module (0xef396c)
LDR: ! Imported function 'sceNpCommerce2GetCategoryContentsStart' in 'sceNpCommerce2' module (0xef398c)
LDR: ! Imported function 'sceNpCommerce2DoDlListFinishAsync' in 'sceNpCommerce2' module (0xef39ac)
LDR: ! Imported function 'sceNpCommerce2Term' in 'sceNpCommerce2' module (0xef39cc)
LDR: ! Imported function 'sceNpCommerce2CreateSessionAbort' in 'sceNpCommerce2' module (0xef39ec)
LDR: ! Imported function 'sceNpCommerce2DoDlListStartAsync' in 'sceNpCommerce2' module (0xef3a0c)
LDR: ! Imported function 'sceNpCommerce2DestroyCtx' in 'sceNpCommerce2' module (0xef3a2c)
LDR: ! Imported function 'sceNpCommerce2GetCategoryContentsCreateReq' in 'sceNpCommerce2' module (0xef3a4c)
LDR: ! Imported function 'sceNpCommerce2GetProductInfoStart' in 'sceNpCommerce2' module (0xef3a6c)
LDR: ! Imported function 'sceNpCommerce2CreateSessionFinish' in 'sceNpCommerce2' module (0xef3a8c)
LDR: ! Imported function 'sceNpCommerce2GetContentInfo' in 'sceNpCommerce2' module (0xef3aac)
LDR: ! Imported function 'sceNpCommerce2SetBGDLAvailability' in 'sceNpCommerce2' module (0xef3acc)
LDR: ! Imported function 'sceNpCommerce2GetProductInfoCreateReq' in 'sceNpCommerce2' module (0xef3aec)
LDR: ! Imported function 'sceNpCommerce2GetProductInfoGetResult' in 'sceNpCommerce2' module (0xef3b0c)
LDR: ! Imported function 'sceNpCommerce2GetCategoryContentsGetResult' in 'sceNpCommerce2' module (0xef3b2c)
LDR: ! Imported function 'sceNpCommerce2CreateSessionStart' in 'sceNpCommerce2' module (0xef3b4c)
LDR: ! Imported function 'sceNpCommerce2DoCheckoutFinishAsync' in 'sceNpCommerce2' module (0xef3b6c)
LDR: ! Imported function 'sceNpCommerce2InitGetCategoryContentsResult' in 'sceNpCommerce2' module (0xef3b8c)
LDR: ! Imported function 'sceNpCommerce2CreateCtx' in 'sceNpCommerce2' module (0xef3bac)
LDR: ! Imported function 'sceNpCommerce2GetGameSkuInfoFromGameProductInfo' in 'sceNpCommerce2' module (0xef3bcc)
LDR: ! Imported function 'sceNpCommerce2GetGameProductInfoFromContentInfo' in 'sceNpCommerce2' module (0xef3bec)
LDR: ! Imported function 'sceNpCommerce2GetGameProductInfo' in 'sceNpCommerce2' module (0xef3c0c)
LDR: ! Imported function 'sceNpCommerce2InitGetProductInfoResult' in 'sceNpCommerce2' module (0xef3c2c)
LDR: ! Imported function 'sceNpCommerce2GetCategoryInfoFromContentInfo' in 'sceNpCommerce2' module (0xef3c4c)
LDR: W Unknown module 'cellSysutilAvconfExt'
LDR: ! Imported function 'cellVideoOutSetGamma' in 'cellSysutilAvconfExt' module (0xef3c6c)
LDR: W Unknown module 'cellBGDLUtility'
LDR: E Unimplemented function 'cellBGDLGetInfo' in 'cellBGDLUtility' module (0xef3c8c)
LDR: ! Imported function 'cellGameContentPermit' in 'cellGame' module (0xef3cac)
LDR: ! Imported function 'cellGameBootCheck' in 'cellGame' module (0xef3ccc)
LDR: ! Imported function 'sceNpTrophyRegisterContext' in 'sceNpTrophy' module (0xef3cec)
LDR: ! Imported function 'sceNpTrophyCreateHandle' in 'sceNpTrophy' module (0xef3d0c)
LDR: ! Imported function 'sceNpTrophyGetRequiredDiskSpace' in 'sceNpTrophy' module (0xef3d2c)
LDR: ! Imported function 'sceNpTrophyDestroyContext' in 'sceNpTrophy' module (0xef3d4c)
LDR: ! Imported function 'sceNpTrophyInit' in 'sceNpTrophy' module (0xef3d6c)
LDR: ! Imported function 'sceNpTrophyDestroyHandle' in 'sceNpTrophy' module (0xef3d8c)
LDR: ! Imported function 'sceNpTrophyUnlockTrophy' in 'sceNpTrophy' module (0xef3dac)
LDR: ! Imported function 'sceNpTrophyTerm' in 'sceNpTrophy' module (0xef3dcc)
LDR: ! Imported function 'sceNpTrophyCreateContext' in 'sceNpTrophy' module (0xef3dec)
LDR: W Unknown module 'cellHttp'
LDR: E Unimplemented function 'cellHttpCreateTransaction' in 'cellHttp' module (0xef3e0c)
LDR: E Unimplemented function 'cellHttpResponseGetStatusCode' in 'cellHttp' module (0xef3e2c)
LDR: E Unimplemented function 'cellHttpInit' in 'cellHttp' module (0xef3e4c)
LDR: E Unimplemented function 'cellHttpDestroyTransaction' in 'cellHttp' module (0xef3e6c)
LDR: E Unimplemented function 'cellHttpResponseGetContentLength' in 'cellHttp' module (0xef3e8c)
LDR: E Unimplemented function 'cellHttpCreateClient' in 'cellHttp' module (0xef3eac)
LDR: E Unimplemented function 'cellHttpsInit' in 'cellHttp' module (0xef3ecc)
LDR: E Unimplemented function 'cellHttpEndCookie' in 'cellHttp' module (0xef3eec)
LDR: E Unimplemented function 'cellHttpRecvResponse' in 'cellHttp' module (0xef3f0c)
LDR: E Unimplemented function 'cellHttpInitCookie' in 'cellHttp' module (0xef3f2c)
LDR: E Unimplemented function 'cellHttpDestroyClient' in 'cellHttp' module (0xef3f4c)
LDR: E Unimplemented function 'cellHttpSendRequest' in 'cellHttp' module (0xef3f6c)
LDR: E Unimplemented function 'cellHttpEnd' in 'cellHttp' module (0xef3f8c)
LDR: E Unimplemented function 'cellHttpsEnd' in 'cellHttp' module (0xef3fac)
LDR: W Unknown module 'cellHttpUtil'
LDR: E Unimplemented function 'cellHttpUtilParseUri' in 'cellHttpUtil' module (0xef3fcc)
LDR: W Unknown module 'cellSsl'
LDR: E Unimplemented function 'cellSslEnd' in 'cellSsl' module (0xef3fec)
LDR: E Unimplemented function 'cellSslCertificateLoader' in 'cellSsl' module (0xef400c)
LDR: E Unimplemented function 'cellSslInit' in 'cellSsl' module (0xef402c)
LDR: W Unknown module 'sysBdMediaId'
LDR: E Unimplemented function '0xEF666B52' in 'sysBdMediaId' module (0xef404c)
LDR: ! Imported function 'sceNpBasicSendMessageGui' in 'sceNp' module (0xef406c)
LDR: ! Imported function 'sceNpManagerGetTicket' in 'sceNp' module (0xef408c)
LDR: ! Imported function 'sceNpManagerGetAccountAge' in 'sceNp' module (0xef40ac)
LDR: ! Imported function 'sceNpLookupAbortTransaction' in 'sceNp' module (0xef40cc)
LDR: ! Imported function 'sceNpBasicSetPresence' in 'sceNp' module (0xef40ec)
LDR: E Unimplemented function '0x4210C462' in 'sceNp' module (0xef410c)
LDR: ! Imported function 'sceNpTerm' in 'sceNp' module (0xef412c)
LDR: ! Imported function 'sceNpManagerUnregisterCallback' in 'sceNp' module (0xef414c)
LDR: ! Imported function 'sceNpManagerGetTicketParam' in 'sceNp' module (0xef416c)
LDR: ! Imported function 'sceNpLookupDestroyTitleCtx' in 'sceNp' module (0xef418c)
LDR: ! Imported function 'sceNpLookupInit' in 'sceNp' module (0xef41ac)
LDR: ! Imported function 'sceNpBasicGetFriendPresenceByIndex2' in 'sceNp' module (0xef41cc)
LDR: ! Imported function 'sceNpBasicRecvMessageAttachmentLoad' in 'sceNp' module (0xef41ec)
LDR: ! Imported function 'sceNpManagerGetContentRatingFlag' in 'sceNp' module (0xef420c)
LDR: ! Imported function 'sceNpLookupPollAsync' in 'sceNp' module (0xef422c)
LDR: ! Imported function 'sceNpManagerRequestTicket2' in 'sceNp' module (0xef424c)
LDR: ! Imported function 'sceNpLookupTerm' in 'sceNp' module (0xef426c)
LDR: ! Imported function 'sceNpManagerGetEntitlementById' in 'sceNp' module (0xef428c)
LDR: ! Imported function 'sceNpManagerGetStatus' in 'sceNp' module (0xef42ac)
LDR: ! Imported function 'sceNpBasicUnregisterHandler' in 'sceNp' module (0xef42cc)
LDR: ! Imported function 'sceNpDrmIsAvailable' in 'sceNp' module (0xef42ec)
LDR: ! Imported function 'sceNpBasicGetFriendListEntryCount' in 'sceNp' module (0xef430c)
LDR: ! Imported function 'sceNpManagerGetAccountRegion' in 'sceNp' module (0xef432c)
LDR: ! Imported function 'sceNpManagerGetEntitlementIdList' in 'sceNp' module (0xef434c)
LDR: ! Imported function 'sceNpBasicRegisterHandler' in 'sceNp' module (0xef436c)
LDR: ! Imported function 'sceNpBasicAddPlayersHistoryAsync' in 'sceNp' module (0xef438c)
LDR: ! Imported function 'sceNpInit' in 'sceNp' module (0xef43ac)
LDR: ! Imported function 'sceNpBasicSetPresenceDetails' in 'sceNp' module (0xef43cc)
LDR: ! Imported function 'sceNpLookupCreateTitleCtx' in 'sceNp' module (0xef43ec)
LDR: ! Imported function 'sceNpLookupNpIdAsync' in 'sceNp' module (0xef440c)
LDR: ! Imported function 'sceNpUtilCmpNpId' in 'sceNp' module (0xef442c)
LDR: ! Imported function 'sceNpBasicGetEvent' in 'sceNp' module (0xef444c)
LDR: ! Imported function 'sceNpManagerRegisterCallback' in 'sceNp' module (0xef446c)
LDR: ! Imported function 'sceNpLookupCreateTransactionCtx' in 'sceNp' module (0xef448c)
LDR: ! Imported function 'sceNpManagerGetChatRestrictionFlag' in 'sceNp' module (0xef44ac)
