LDR: E PSFLoader::Load() failed: unknown magic (0x0)
G: ! RPCS3 v0.0.0.5-2554-gdfeedf2
G: ! 
G: ! Stopping emulator...
LDR: ! Loading 'D:/Emulateurs/Rpcs3/dev_hdd0/game/NPEB00036/USRDIR/BOOT.BIN'...
G: W fs::file::open('D:/Emulateurs/Rpcs3/dev_hdd0/game/NPEB00036/dev_bdvd.path', 0x1) failed: error 0x2
LDR: ! 
LDR: ! Mount info:
LDR: ! /dev_usb000/ -> D:/Emulateurs/Rpcs3/dev_usb000/
LDR: ! /dev_flash/ -> D:/Emulateurs/Rpcs3/dev_flash/
LDR: ! /host_root/ -> 
LDR: ! /dev_hdd0/ -> D:/Emulateurs/Rpcs3/dev_hdd0/
LDR: ! /dev_hdd1/ -> D:/Emulateurs/Rpcs3/dev_hdd1/
LDR: ! /dev_usb/ -> D:/Emulateurs/Rpcs3/dev_usb000/
LDR: ! 
LDR: ! Settings:
LDR: ! CPU: PPU Interpreter 2
LDR: ! SPU: SPU Recompiler (ASMJIT)
LDR: ! Renderer: DirectX 12
LDR: ! D3D Adapter: Default
LDR: ! Resolution: 1280x720
LDR: ! Write Depth Buffer: No
LDR: ! Write Color Buffers: No
LDR: ! Read Color Buffer: No
LDR: ! Audio Out: XAudio2
LDR: ! Log Everything: No
LDR: ! RSX Logging: No
LDR: ! 
LDR: ! Title: Super Street Fighter 2 Turbo HD
LDR: ! Serial: NPEB00036
LDR: ! Elf path: /dev_hdd0/game/NPEB00036/USRDIR/BOOT.BIN
LDR: ! 
LDR: ! loader::init() failed: Broken file
LDR: ! *** sdk version: 0x240001
LDR: ! *** primary prio: 1001
LDR: ! *** primary stacksize: 0x20000
LDR: ! *** malloc pagesize: 0x100000
LDR: ! *** ppc seg: 0x0
LDR: ! Imported function 'cellGcmGetTiledPitchSize' in 'cellGcmSys' module (0xf9b9d4)
LDR: ! Imported function '_cellGcmInitBody' in 'cellGcmSys' module (0xf9b9f4)
LDR: ! Imported function '_cellGcmSetFlipCommand' in 'cellGcmSys' module (0xf9ba14)
LDR: ! Imported function 'cellGcmAddressToOffset' in 'cellGcmSys' module (0xf9ba34)
LDR: ! Imported function '_cellGcmFunc15' in 'cellGcmSys' module (0xf9ba54)
LDR: ! Imported function 'cellGcmSetFlipMode' in 'cellGcmSys' module (0xf9ba74)
LDR: ! Imported function 'cellGcmSetFlipHandler' in 'cellGcmSys' module (0xf9ba94)
LDR: ! Imported function 'cellGcmSetDisplayBuffer' in 'cellGcmSys' module (0xf9bab4)
LDR: ! Imported function 'cellGcmGetControlRegister' in 'cellGcmSys' module (0xf9bad4)
LDR: ! Imported function 'cellGcmSetInvalidateTile' in 'cellGcmSys' module (0xf9baf4)
LDR: ! Imported function 'cellGcmSetTile' in 'cellGcmSys' module (0xf9bb14)
LDR: ! Imported function 'cellGcmSetZcull' in 'cellGcmSys' module (0xf9bb34)
LDR: ! Imported function 'cellGcmGetConfiguration' in 'cellGcmSys' module (0xf9bb54)
LDR: ! Imported function 'cellGcmGetLabelAddress' in 'cellGcmSys' module (0xf9bb74)
LDR: ! Imported function 'cellSysmoduleUnloadModule' in 'cellSysmodule' module (0xf9bb94)
LDR: ! Imported function 'cellSysmoduleLoadModule' in 'cellSysmodule' module (0xf9bbb4)
LDR: ! Imported function 'cellVideoOutConfigure' in 'cellSysutil' module (0xf9bbd4)
LDR: ! Imported function 'cellSysutilAvcJoinRequest' in 'cellSysutil' module (0xf9bbf4)
LDR: ! Imported function 'cellSysutilCheckCallback' in 'cellSysutil' module (0xf9bc14)
LDR: ! Imported function 'cellSaveDataListLoad2' in 'cellSysutil' module (0xf9bc34)
LDR: ! Imported function 'cellSysCacheMount' in 'cellSysutil' module (0xf9bc54)
LDR: ! Imported function 'cellVideoOutGetDeviceInfo' in 'cellSysutil' module (0xf9bc74)
LDR: ! Imported function 'cellSaveDataFixedLoad2' in 'cellSysutil' module (0xf9bc94)
LDR: ! Imported function 'cellSaveDataFixedSave2' in 'cellSysutil' module (0xf9bcb4)
LDR: ! Imported function 'cellSaveDataListSave2' in 'cellSysutil' module (0xf9bcd4)
LDR: ! Imported function 'cellSysutilAvcSetVoiceMuting' in 'cellSysutil' module (0xf9bcf4)
LDR: ! Imported function 'cellSysutilGetSystemParamInt' in 'cellSysutil' module (0xf9bd14)
LDR: ! Imported function 'cellAudioOutConfigure' in 'cellSysutil' module (0xf9bd34)
LDR: ! Imported function 'cellSysutilAvcUnloadAsync' in 'cellSysutil' module (0xf9bd54)
LDR: ! Imported function 'cellMsgDialogOpen2' in 'cellSysutil' module (0xf9bd74)
LDR: ! Imported function 'cellVideoOutGetState' in 'cellSysutil' module (0xf9bd94)
LDR: ! Imported function 'cellSaveDataAutoSave2' in 'cellSysutil' module (0xf9bdb4)
LDR: ! Imported function 'cellHddGameCheck' in 'cellSysutil' module (0xf9bdd4)
LDR: ! Imported function 'cellSysutilRegisterCallback' in 'cellSysutil' module (0xf9bdf4)
LDR: ! Imported function 'cellVideoOutGetResolutionAvailability' in 'cellSysutil' module (0xf9be14)
LDR: ! Imported function 'cellAudioOutGetSoundAvailability' in 'cellSysutil' module (0xf9be34)
LDR: ! Imported function 'cellVideoOutGetResolution' in 'cellSysutil' module (0xf9be54)
LDR: ! Imported function 'cellSysutilAvcSetAttribute' in 'cellSysutil' module (0xf9be74)
LDR: ! Imported function 'cellSaveDataDelete2' in 'cellSysutil' module (0xf9be94)
LDR: ! Imported function 'cellSysutilAvcByeRequest' in 'cellSysutil' module (0xf9beb4)
LDR: ! Imported function 'cellAudioOutGetState' in 'cellSysutil' module (0xf9bed4)
LDR: ! Imported function 'cellSaveDataAutoLoad2' in 'cellSysutil' module (0xf9bef4)
LDR: E Unknown function '0x2FFF23F0' in 'cellSysutilAvcExt' module (0xf9bf14)
LDR: ! Imported function 'cellSysutilAvcExtLoadAsyncEx' in 'cellSysutilAvcExt' module (0xf9bf34)
LDR: ! Imported function 'cellSysutilAvcExtStopVoiceDetection' in 'cellSysutilAvcExt' module (0xf9bf54)
LDR: E Unknown function '0x75F14D18' in 'cellSysutilAvcExt' module (0xf9bf74)
LDR: ! Imported function 'cellSysutilAvcExtStartVoiceDetection' in 'cellSysutilAvcExt' module (0xf9bf94)
LDR: ! Imported function 'cellSysutilAvcExtInitOptionParam' in 'cellSysutilAvcExt' module (0xf9bfb4)
LDR: ! Imported function 'sceNpMatchingGetResult' in 'sceNp' module (0xf9bfd4)
LDR: ! Imported function 'sceNpBasicGetFriendListEntry' in 'sceNp' module (0xf9bff4)
LDR: ! Imported function 'sceNpMatchingQuickMatchGUI' in 'sceNp' module (0xf9c014)
LDR: ! Imported function 'sceNpSignalingGetConnectionInfo' in 'sceNp' module (0xf9c034)
LDR: ! Imported function 'sceNpBasicAddPlayersHistory' in 'sceNp' module (0xf9c054)
LDR: ! Imported function 'sceNpScoreGetRankingByRangeAsync' in 'sceNp' module (0xf9c074)
LDR: ! Imported function 'sceNpScoreDestroyTitleCtx' in 'sceNp' module (0xf9c094)
LDR: ! Imported function 'sceNpMatchingGetResultGUI' in 'sceNp' module (0xf9c0b4)
LDR: ! Imported function 'sceNpMatchingAcceptInvitationGUI' in 'sceNp' module (0xf9c0d4)
LDR: ! Imported function 'sceNpMatchingDestroyCtx' in 'sceNp' module (0xf9c0f4)
LDR: ! Imported function 'sceNpScoreInit' in 'sceNp' module (0xf9c114)
LDR: ! Imported function 'sceNpMatchingCreateRoomGUI' in 'sceNp' module (0xf9c134)
LDR: ! Imported function 'sceNpScoreGetRankingByNpIdAsync' in 'sceNp' module (0xf9c154)
LDR: ! Imported function 'sceNpMatchingJoinRoomGUI' in 'sceNp' module (0xf9c174)
LDR: ! Imported function 'sceNpTerm' in 'sceNp' module (0xf9c194)
